pcon-code,pcon-nm,Name,Speed,Superfast,UnableDecent,Under2,Under10,Over30
W07000049,Aberavon,Aberavon,64.8,0.98052,0.00473,0.01690,0.15360,0.66850
W07000058,Aberconwy,Aberconwy,29.6,0.91971,0.04104,0.03240,0.28340,0.41460
S14000001,Aberdeen North,Aberdeen North,29.3,0.95091,0.01491,0.00850,0.18800,0.41200
S14000002,Aberdeen South,Aberdeen South,29.4,0.93305,0.00469,0.01290,0.21890,0.42670
S14000003,Airdrie and Shotts,Airdrie and Shotts,59.8,0.97373,0.00825,0.01900,0.17830,0.61280
E14000530,Aldershot,Aldershot,70.6,0.97837,0.01342,0.01370,0.13680,0.71160
E14000531,Aldridge-Brownhills,Aldridge-Brownhills,50,0.99327,0.00189,0.00810,0.17910,0.55750
E14000532,Altrincham and Sale West,Altrincham and Sale West,54.8,0.96897,0.01122,0.01050,0.15900,0.64270
W07000043,Alyn and Deeside,Alyn and Deeside,30.8,0.93793,0.01861,0.02680,0.27120,0.50100
E14000533,Amber Valley,Amber Valley,28.5,0.94329,0.01201,0.01580,0.23830,0.42910
S14000004,Angus,Angus,26.8,0.86180,0.07981,0.02830,0.25310,0.36520
W07000057,Arfon,Arfon,29.3,0.92222,0.02762,0.03590,0.24620,0.43250
S14000005,Argyll and Bute,Argyll and Bute,26.7,0.79329,0.11830,0.03930,0.33420,0.34850
E14000534,Arundel and South Downs,Arundel and South Downs,31.4,0.89103,0.03632,0.02130,0.21690,0.44990
E14000535,Ashfield,Ashfield,65.8,0.98675,0.00561,0.01340,0.16150,0.68610
E14000536,Ashford,Ashford,46.7,0.90831,0.03700,0.03300,0.22370,0.57390
E14000537,Ashton-under-Lyne,Ashton-under-Lyne,44.3,0.99426,0.00093,0.00940,0.21900,0.55480
E14000538,Aylesbury,Aylesbury,51.3,0.95788,0.01350,0.01280,0.17810,0.61360
S14000006,"Ayr, Carrick and Cumnock","Ayr, Carrick and Cumnock",35.3,0.93851,0.03190,0.02090,0.22460,0.44680
E14000539,Banbury,Banbury,40.5,0.94355,0.01323,0.01800,0.19850,0.57030
S14000007,Banff and Buchan,Banff and Buchan,28.3,0.83328,0.10246,0.04140,0.27040,0.40250
E14000540,Barking,Barking,57.5,0.99311,0.00544,0.01150,0.19130,0.62740
E14000541,Barnsley Central,Barnsley Central,51.9,0.98645,0.00754,0.00980,0.17740,0.58650
E14000542,Barnsley East,Barnsley East,39.6,0.98273,0.00420,0.02290,0.23310,0.52720
E14000543,Barrow and Furness,Barrow and Furness,32.2,0.97100,0.00925,0.01940,0.18980,0.49130
E14000544,Basildon and Billericay,Basildon and Billericay,49.8,0.94924,0.01988,0.01410,0.20990,0.54980
E14000545,Basingstoke,Basingstoke,55.4,0.98784,0.00559,0.02440,0.19540,0.68860
E14000546,Bassetlaw,Bassetlaw,33.7,0.95381,0.00994,0.03960,0.23710,0.50760
E14000547,Bath,Bath,45.1,0.96799,0.00717,0.01100,0.18990,0.55230
E14000548,Batley and Spen,Batley and Spen,40.6,0.97408,0.00745,0.01210,0.21870,0.48460
E14000549,Battersea,Battersea,50.3,0.97749,0.00242,0.00500,0.13250,0.55280
E14000550,Beaconsfield,Beaconsfield,38.3,0.91563,0.02330,0.01580,0.19000,0.50620
E14000551,Beckenham,Beckenham,62.8,0.99492,0.00050,0.00700,0.11310,0.65530
E14000552,Bedford,Bedford,66.5,0.99274,0.00356,0.01100,0.13180,0.69030
N06000001,Belfast East,Belfast East,63.2,0.98103,0.01229,0.00760,0.12180,0.65300
N06000002,Belfast North,Belfast North,62.9,0.98908,0.00827,0.00650,0.13290,0.64490
N06000003,Belfast South,Belfast South,63.4,0.99157,0.00346,0.00900,0.11130,0.68620
N06000004,Belfast West,Belfast West,68.1,0.99311,0.00242,0.01900,0.16550,0.76180
E14000553,Bermondsey and Old Southwark,Bermondsey and Old Southwark,35.9,0.89519,0.01341,0.01360,0.21410,0.37180
S14000008,"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh and Selkirk",27.8,0.84652,0.09486,0.03530,0.27480,0.37760
E14000554,Berwick-upon-Tweed,Berwick-upon-Tweed,29.6,0.87712,0.06252,0.03830,0.24890,0.42150
E14000555,Bethnal Green and Bow,Bethnal Green and Bow,32.3,0.87479,0.00559,0.00630,0.21540,0.36540
E14000556,Beverley and Holderness,Beverley and Holderness,57.8,0.94862,0.02567,0.01710,0.16060,0.52090
E14000557,Bexhill and Battle,Bexhill and Battle,30.1,0.93153,0.01234,0.01830,0.20960,0.43300
E14000558,Bexleyheath and Crayford,Bexleyheath and Crayford,56.7,0.97319,0.02580,0.00980,0.20800,0.55710
E14000559,Birkenhead,Birkenhead,56,0.99616,0.00034,0.00710,0.12280,0.57960
E14000560,"Birmingham, Edgbaston","Birmingham, Edgbaston",61.2,0.97536,0.01978,0.01050,0.14420,0.61720
E14000561,"Birmingham, Erdington","Birmingham, Erdington",62.7,0.97142,0.02407,0.01640,0.21280,0.66310
E14000562,"Birmingham, Hall Green","Birmingham, Hall Green",58.1,0.98508,0.00531,0.00680,0.12750,0.61270
E14000563,"Birmingham, Hodge Hill","Birmingham, Hodge Hill",60.6,0.99840,0.00512,0.01730,0.25660,0.67330
E14000564,"Birmingham, Ladywood","Birmingham, Ladywood",39.4,0.86133,0.02267,0.00650,0.14440,0.37750
E14000565,"Birmingham, Northfield","Birmingham, Northfield",65.8,0.98228,0.02169,0.01200,0.22940,0.63490
E14000566,"Birmingham, Perry Barr","Birmingham, Perry Barr",61,0.99212,0.00550,0.01120,0.20310,0.63070
E14000567,"Birmingham, Selly Oak","Birmingham, Selly Oak",66.2,0.98380,0.01451,0.00600,0.14860,0.62880
E14000568,"Birmingham, Yardley","Birmingham, Yardley",62.4,0.99449,0.00739,0.00660,0.16370,0.63670
E14000569,Bishop Auckland,Bishop Auckland,29,0.90143,0.04792,0.02870,0.24320,0.43340
E14000570,Blackburn,Blackburn,52.9,0.99027,0.00182,0.01080,0.21500,0.62070
E14000571,Blackley and Broughton,Blackley and Broughton,41.4,0.96459,0.02618,0.02110,0.24430,0.52780
E14000572,Blackpool North and Cleveleys,Blackpool North and Cleveleys,45.2,0.99356,0.00176,0.00940,0.17060,0.54390
E14000573,Blackpool South,Blackpool South,55.1,0.99197,0.00000,0.00840,0.13410,0.56960
W07000072,Blaenau Gwent,Blaenau Gwent,28.9,0.97328,0.00618,0.01560,0.20180,0.43230
E14000574,Blaydon,Blaydon,41.9,0.93927,0.02269,0.01650,0.23930,0.44470
E14000575,Blyth Valley,Blyth Valley,30.5,0.98737,0.00114,0.01770,0.24460,0.50960
E14000576,Bognor Regis and Littlehampton,Bognor Regis and Littlehampton,30.2,0.97368,0.00160,0.01400,0.21550,0.46090
E14000577,Bolsover,Bolsover,36.5,0.92617,0.01591,0.02250,0.21260,0.47080
E14000578,Bolton North East,Bolton North East,59.8,0.99357,0.00300,0.01360,0.18290,0.65110
