mnemonic, Highest level of qualifications [Census 2011]|No qualifications (percent), Level 1 qualifications (percent), Level 2 qualifications (percent), Apprenticeship (percent), Level 3 qualifications (percent), Level 4 qualifications and above (percent), Other qualifications (percent)
K02000001, 23.2,14.1,15.2,3.3,12.1,27.0,5.1 
E14000554, 24.0,13.4,16.6,4.6,11.3,25.9,4.2 
E14000569, 30.0,13.4,16.1,4.5,12.1,20.0,3.8 
E14000574, 25.4,14.1,16.2,5.6,11.8,23.0,3.9 
E14000575, 25.7,15.8,17.6,5.5,13.1,18.7,3.6 
E14000641, 20.5,10.5,13.2,3.0,19.8,29.3,3.7 
E14000658, 26.0,13.7,16.0,5.1,12.7,22.0,4.5 
E14000677, 33.5,14.9,16.7,4.0,11.7,15.3,4.0 
E14000709, 30.5,14.3,14.9,4.6,10.7,20.7,4.4 
E14000733, 30.7,13.5,16.2,5.5,12.5,17.6,4.0 
E14000746, 18.7,11.4,15.3,3.9,11.3,35.9,3.6 
E14000754, 30.7,15.5,16.5,5.3,11.6,16.7,3.6 
E14000765, 26.9,14.7,16.3,6.5,12.4,19.7,3.6 
E14000819, 31.7,13.7,14.8,3.9,13.4,16.9,5.7 
E14000820, 26.3,13.0,16.2,5.5,12.7,22.4,3.9 
E14000831, 26.6,11.7,12.1,2.7,13.6,26.6,6.6 
E14000832, 19.7,8.9,10.8,2.9,25.3,28.1,4.2 
E14000833, 25.1,13.6,14.8,4.7,11.4,26.6,3.9 
E14000840, 27.3,14.8,17.2,4.6,12.2,20.2,3.7 
E14000853, 26.6,15.5,16.3,5.6,11.9,20.2,3.8 
E14000856, 25.9,13.3,16.3,4.5,12.4,23.5,4.0 
E14000891, 29.5,14.1,16.6,5.8,13.3,16.8,3.8 
E14000915, 27.4,13.6,16.5,4.7,12.6,21.2,4.0 
E14000944, 29.1,14.6,16.1,5.8,11.7,18.6,4.1 
E14000970, 27.9,15.1,16.9,5.4,12.7,18.1,3.9 
E14000971, 19.9,12.8,16.8,5.1,14.4,27.1,3.8 
E14000982, 27.5,13.7,15.1,4.9,12.8,21.4,4.6 
E14001006, 20.7,12.5,15.8,4.9,11.8,30.6,3.7 
E14001014, 26.9,13.8,16.5,4.1,12.6,22.4,3.7 
E14001020, 29.2,17.5,17.3,5.0,11.5,15.9,3.6 
E14000532, 15.2,11.1,15.2,3.1,11.4,40.3,3.7 
E14000537, 29.6,16.5,17.2,4.3,11.8,15.4,5.2 
E14000543, 24.0,13.3,15.3,8.5,13.3,22.3,3.4 
E14000559, 27.8,14.6,17.7,4.0,12.0,19.9,4.0 
E14000570, 30.8,14.4,14.7,3.6,10.7,18.1,7.6 
E14000571, 31.8,13.6,13.9,1.9,10.2,19.8,8.7 
E14000572, 29.7,14.8,17.2,4.5,11.8,17.6,4.3 
E14000573, 32.0,15.8,17.1,4.2,11.4,14.6,4.9 
E14000578, 26.9,14.3,15.7,4.2,11.9,21.7,5.3 
E14000579, 30.8,15.1,15.8,4.0,11.6,16.4,6.3 
E14000580, 22.1,13.5,16.0,4.7,12.5,27.3,3.8 
E14000581, 31.2,16.0,17.2,3.4,12.4,16.5,3.4 
E14000609, 29.3,14.4,15.8,4.6,12.3,18.7,4.8 
E14000611, 22.5,13.6,17.0,3.6,12.4,26.1,4.8 
E14000612, 22.6,14.5,17.3,3.5,12.3,25.3,4.5 
E14000620, 25.6,15.1,16.3,4.7,12.8,20.9,4.6 
E14000627, 15.9,11.8,15.8,3.7,12.1,36.7,4.0 
E14000637, 21.4,13.3,16.1,4.8,12.7,27.8,3.8 
E14000640, 19.0,11.5,14.3,3.2,14.2,33.8,4.1 
E14000646, 20.1,12.2,16.2,4.5,12.6,31.0,3.5 
E14000647, 25.6,13.8,15.6,5.6,12.2,23.1,3.9 
E14000653, 22.7,13.4,16.5,5.2,13.2,24.2,4.8 
E14000661, 27.7,16.3,17.4,4.8,12.6,17.3,4.0 
E14000686, 21.7,13.3,16.0,3.8,11.7,30.0,3.5 
E14000688, 22.9,15.1,16.8,4.7,12.9,23.7,3.9 
E14000706, 20.8,12.0,16.6,4.3,12.4,30.0,4.0 
E14000708, 30.2,13.8,15.7,3.3,11.4,22.0,3.7 
E14000725, 27.2,16.6,18.4,4.0,12.6,17.4,3.7 
E14000738, 21.1,13.7,16.4,4.7,12.4,27.9,3.8 
E14000747, 28.1,14.9,16.9,3.9,11.8,19.8,4.5 
E14000758, 27.6,13.9,16.3,5.3,12.5,19.5,4.9 
E14000775, 36.4,15.2,15.9,3.4,11.5,14.3,3.4 
E14000776, 21.1,11.1,13.9,3.1,19.9,26.5,4.5 
E14000785, 25.8,15.5,17.7,4.5,12.6,20.2,3.9 
E14000793, 21.4,8.4,10.6,1.4,23.1,29.7,5.3 
E14000794, 36.5,15.7,16.2,3.0,11.5,13.3,3.8 
E14000795, 25.5,12.0,13.7,2.5,15.1,26.6,4.7 
E14000796, 32.8,14.8,16.5,3.1,11.7,17.2,3.9 
E14000802, 18.2,11.6,15.8,3.5,12.4,35.0,3.5 
E14000805, 26.5,15.3,17.6,5.1,12.6,19.4,3.6 
E14000807, 21.4,10.2,11.2,1.4,18.6,29.7,7.4 
E14000808, 22.0,10.5,11.6,1.4,19.5,26.0,8.9 
E14000809, 14.7,7.3,9.6,1.4,17.4,45.1,4.5 
E14000825, 24.5,13.2,17.1,4.5,12.7,23.6,4.4 
E14000870, 27.5,13.8,15.8,4.2,11.9,21.6,5.1 
E14000871, 31.8,15.2,15.3,4.0,11.3,16.4,5.9 
E14000875, 28.2,13.3,15.1,4.8,12.5,20.2,5.8 
E14000877, 23.0,13.5,16.6,4.0,11.8,26.9,4.2 
E14000885, 26.7,13.4,14.2,3.3,16.3,19.3,6.8 
E14000894, 19.4,12.2,15.8,5.6,13.2,30.0,3.7 
E14000897, 29.3,14.4,15.9,3.4,11.6,19.0,6.3 
E14000902, 23.6,13.8,16.5,4.3,13.2,24.9,3.7 
E14000911, 25.9,12.8,14.5,3.2,13.5,24.7,5.5 
E14000916, 21.2,13.0,16.2,4.5,12.3,29.4,3.4 
E14000943, 20.6,13.2,16.6,5.2,13.1,27.5,3.8 
E14000958, 22.6,12.8,16.2,3.9,12.7,27.0,4.9 
E14000962, 27.7,14.3,16.8,4.6,12.2,20.7,3.7 
E14000963, 28.8,14.5,16.5,3.9,12.2,20.3,3.8 
E14000967, 26.3,15.5,17.4,4.4,12.2,20.1,4.1 
E14000969, 23.7,14.1,15.6,3.6,11.8,27.3,3.9 
E14000979, 22.7,14.2,16.6,3.7,12.1,25.5,5.2 
E14000987, 17.6,11.4,15.5,3.1,11.4,37.4,3.5 
E14001010, 25.3,15.4,18.3,4.0,13.3,20.2,3.6 
E14001017, 23.4,15.7,17.0,4.1,12.8,22.7,4.3 
E14001018, 18.3,13.6,16.1,4.1,12.4,31.7,3.9 
E14001024, 21.6,14.3,16.8,3.7,12.3,27.6,3.7 
E14001033, 23.4,13.6,15.7,3.8,14.2,25.2,4.0 
E14001037, 18.9,12.0,15.7,4.3,11.8,33.3,4.1 
E14001039, 29.0,14.9,16.2,4.6,11.5,19.8,4.0 
E14001043, 19.5,12.4,16.6,4.7,12.6,30.7,3.4 
E14001044, 19.7,11.6,16.1,4.3,12.2,32.6,3.4 
E14001053, 28.3,14.0,16.2,5.2,11.7,20.8,3.8 
E14001054, 26.8,15.4,16.9,4.0,12.2,20.3,4.3 
E14001057, 19.4,11.6,15.7,4.9,12.6,32.0,3.9 
E14001059, 26.7,14.4,15.4,2.9,10.7,24.8,5.1 
E14000541, 31.9,14.5,16.2,3.9,11.7,17.1,4.6 
E14000542, 34.2,14.7,16.5,4.2,11.1,14.8,4.4 
E14000548, 28.6,14.8,15.6,5.0,11.6,19.2,5.1 
E14000556, 22.5,12.7,16.1,5.1,12.2,27.3,4.1 
E14000587, 32.9,15.3,14.4,3.2,10.2,15.7,8.2 
E14000588, 30.9,15.9,15.8,4.5,11.1,16.1,5.5 
E14000589, 30.6,13.7,12.7,2.1,11.4,19.7,9.7 
E14000596, 26.1,14.8,16.8,5.0,11.8,20.6,4.9 
E14000614, 20.7,12.9,15.9,4.9,12.4,29.9,3.3 
E14000643, 27.0,15.4,17.3,5.4,11.2,19.0,4.7 
E14000645, 21.0,12.3,14.8,5.4,12.6,29.8,4.2 
E14000666, 27.2,13.5,15.3,4.6,11.9,22.6,5.0 
E14000667, 30.2,14.8,17.0,4.5,11.0,18.2,4.4 
E14000668, 27.9,14.9,16.9,4.4,10.7,18.5,6.7 
E14000669, 32.8,16.6,17.1,4.5,10.3,14.3,4.4 
E14000683, 26.9,13.4,16.4,4.8,11.1,22.9,4.6 
E14000689, 22.9,13.1,16.2,5.0,11.5,27.6,3.6 
E14000716, 31.2,16.7,18.0,3.9,10.5,14.5,5.1 
E14000723, 27.1,14.5,16.5,4.9,12.2,19.8,5.2 
E14000724, 18.9,12.0,15.9,5.2,13.3,30.8,3.8 
E14000730, 16.9,11.7,16.3,3.6,11.8,34.7,5.0 
E14000740, 33.0,13.9,15.9,4.0,10.2,18.4,4.6 
E14000756, 25.0,12.2,14.4,4.3,14.3,23.7,6.1 
E14000766, 24.3,12.5,15.5,4.7,11.7,26.7,4.6 
E14000771, 34.1,16.0,16.4,4.7,11.5,12.3,5.0 
E14000772, 27.9,13.3,14.5,3.4,16.1,18.9,5.9 
E14000773, 31.3,14.3,15.6,4.3,11.7,16.1,6.7 
E14000777, 25.6,12.0,12.2,2.4,19.2,21.9,6.8 
E14000778, 33.2,15.3,15.1,4.1,10.3,16.2,5.7 
E14000779, 18.0,10.5,13.0,2.4,10.5,40.7,4.9 
E14000780, 14.1,8.7,11.9,2.8,26.1,33.3,3.2 
E14000781, 27.3,14.3,14.3,3.9,13.5,22.0,4.8 
E14000826, 24.2,14.7,16.8,5.2,12.3,22.9,4.0 
E14000836, 34.0,15.4,16.3,4.4,10.3,15.0,4.6 
E14000876, 24.9,13.4,16.3,5.1,12.1,24.5,3.7 
E14000886, 19.4,12.7,14.9,5.1,12.0,32.4,3.5 
E14000895, 19.0,13.5,16.9,3.9,12.4,29.7,4.7 
E14000903, 26.4,15.3,17.1,4.7,12.0,20.5,4.0 
E14000904, 33.1,16.0,16.3,4.1,10.8,14.3,5.4 
E14000913, 25.4,12.9,16.4,5.2,12.3,23.0,4.8 
E14000914, 27.4,16.7,16.7,4.8,11.5,16.9,6.0 
E14000917, 20.4,13.6,16.6,4.8,12.6,27.8,4.3 
E14000919, 15.7,7.7,9.3,1.6,27.7,32.6,5.5 
E14000920, 30.9,15.5,16.1,4.9,11.8,16.1,4.9 
E14000921, 34.0,15.8,15.4,3.8,10.0,15.5,5.5 
E14000922, 13.0,8.0,12.3,2.8,17.3,43.6,3.0 
E14000923, 29.0,14.2,15.2,4.3,11.3,21.7,4.2 
E14000925, 19.2,12.9,16.0,4.5,12.0,31.7,3.7 
E14000928, 19.7,12.0,16.1,4.2,12.1,31.5,4.4 
E14000993, 23.5,12.4,16.2,4.3,11.4,28.0,4.3 
E14001009, 28.1,14.6,15.9,4.4,10.9,20.5,5.7 
E14001028, 32.5,15.4,16.9,4.1,11.5,15.5,4.1 
E14001061, 18.1,10.2,12.9,3.8,18.0,32.7,4.3 
E14001062, 17.8,11.1,15.0,5.2,15.1,32.1,3.9 
E14000533, 29.7,14.8,15.9,4.8,12.0,18.7,4.1 
E14000535, 32.3,16.5,16.4,4.2,11.6,14.6,4.4 
E14000546, 28.8,14.6,16.5,4.2,11.2,19.8,4.8 
E14000577, 32.8,15.2,16.2,3.7,11.3,16.3,4.4 
E14000582, 34.8,14.7,15.2,3.5,9.2,14.4,8.2 
E14000583, 24.8,14.3,16.1,4.8,12.4,23.7,4.0 
E14000607, 21.8,12.4,14.7,4.4,12.2,30.3,4.2 
E14000625, 22.5,13.7,15.6,5.5,12.2,26.3,4.2 
E14000632, 27.1,14.2,17.0,4.0,12.2,21.7,4.0 
E14000648, 24.7,15.7,17.3,4.1,11.3,20.7,6.3 
E14000660, 19.2,14.7,17.0,4.6,11.7,28.6,4.2 
E14000662, 21.5,12.4,14.3,4.7,15.4,26.9,4.9 
E14000663, 28.7,14.5,14.4,4.6,10.9,19.3,7.7 
E14000664, 21.4,11.8,14.9,3.5,11.0,33.8,3.7 
E14000695, 26.9,15.9,16.7,5.2,12.4,18.9,4.1 
E14000707, 23.1,13.8,16.6,5.1,11.9,25.2,4.2 
E14000710, 23.9,14.1,15.9,4.5,13.1,24.3,4.1 
E14000714, 22.1,13.9,17.4,4.5,12.3,24.8,5.1 
E14000728, 20.9,13.2,15.6,4.3,13.4,27.7,4.8 
E14000748, 20.9,13.1,16.0,4.0,13.1,29.4,3.5 
E14000769, 22.8,15.5,17.0,4.3,11.8,23.3,5.3 
E14000782, 32.3,13.8,12.3,2.0,9.0,18.3,12.2 
E14000783, 24.6,11.5,11.8,1.7,17.0,24.8,8.6 
E14000784, 29.3,13.8,13.8,2.5,12.4,19.9,8.2 
E14000792, 21.5,13.3,16.2,3.8,18.1,21.9,5.2 
E14000797, 18.8,11.0,13.3,4.4,20.2,27.6,4.7 
