ONSConstID,ConstituencyName,RegionID,RegionName,CON# All categories ,CON# Not in employment,CON# In Employement ,CON# Work mainly at or from home,"CON%
Work mainly at or from home","REG% 
Work mainly at or from home","E&W% 
Work mainly at or from home","CON# Underground, metro, light rail, tram","CON% Underground, metro, light rail, tram","REG% Underground, metro, light rail, tram","E&W% Underground, metro, light rail, tram",CON# Train,CON% Train,REG% Train,E&W% Train,"CON# Bus, minibus or coach","CON% Bus, minibus or coach","REG% Bus, minibus or coach","E&W% Bus, minibus or coach",CON# Taxi,CON% Taxi,REG% Taxi,E&W% Taxi,"CON# Motorcycle, scooter or moped","CON% Motorcycle, scooter or moped","REG% Motorcycle, scooter or moped","E&W% Motorcycle, scooter or moped",CON# Driving a car or van,CON% Driving a car or van,REG% Driving a car or van,E&W% Driving a car or van,CON# Passenger in a car or van,CON% Passenger in a car or van,REG% Passenger in a car or van,E&W% Passenger in a car or van,CON# Bicycle,CON% Bicycle,REG% Bicycle,E&W% Bicycle,CON# On foot,CON% On foot,REG% On foot,E&W% On foot,CON# Other method of travel to work,CON% Other method of travel to work,REG% Other method of travel to work,E&W% Other method of travel to work
E14000554,Berwick-upon-Tweed,E12000001,North East,"56,276","20,924","35,352","3,117",9%,4%,5%,65,0%,3%,4%,512,1%,1%,5%,"1,236",3%,9%,7%,109,0%,1%,1%,164,0%,0%,1%,"21,615",61%,62%,58%,"2,037",6%,7%,5%,458,1%,2%,3%,"5,612",16%,11%,11%,427,1%,1%,1%
E14000569,Bishop Auckland,E12000001,North East,"64,422","25,773","38,649","2,180",6%,4%,5%,32,0%,3%,4%,214,1%,1%,5%,"1,677",4%,9%,7%,125,0%,1%,1%,163,0%,0%,1%,"25,940",67%,62%,58%,"2,923",8%,7%,5%,355,1%,2%,3%,"4,810",12%,11%,11%,230,1%,1%,1%
E14000574,Blaydon,E12000001,North East,"64,923","23,667","41,256","1,580",4%,4%,5%,342,1%,3%,4%,220,1%,1%,5%,"5,789",14%,9%,7%,175,0%,1%,1%,179,0%,0%,1%,"26,660",65%,62%,58%,"2,707",7%,7%,5%,470,1%,2%,3%,"2,875",7%,11%,11%,259,1%,1%,1%
E14000575,Blyth Valley,E12000001,North East,"61,181","23,003","38,178","1,131",3%,4%,5%,324,1%,3%,4%,303,1%,1%,5%,"2,889",8%,9%,7%,241,1%,1%,1%,230,1%,0%,1%,"25,769",67%,62%,58%,"2,912",8%,7%,5%,804,2%,2%,3%,"3,253",9%,11%,11%,322,1%,1%,1%
E14000641,City of Durham,E12000001,North East,"73,896","33,177","40,719","1,866",5%,4%,5%,77,0%,3%,4%,724,2%,1%,5%,"3,017",7%,9%,7%,85,0%,1%,1%,180,0%,0%,1%,"25,497",63%,62%,58%,"2,724",7%,7%,5%,539,1%,2%,3%,"5,752",14%,11%,11%,258,1%,1%,1%
E14000658,Darlington,E12000001,North East,"66,190","24,289","41,901","1,452",3%,4%,5%,27,0%,3%,4%,726,2%,1%,5%,"3,219",8%,9%,7%,418,1%,1%,1%,161,0%,0%,1%,"25,248",60%,62%,58%,"3,077",7%,7%,5%,"1,082",3%,2%,3%,"6,244",15%,11%,11%,247,1%,1%,1%
E14000677,Easington,E12000001,North East,"61,056","26,235","34,821",903,3%,4%,5%,78,0%,3%,4%,243,1%,1%,5%,"2,063",6%,9%,7%,529,2%,1%,1%,175,1%,0%,1%,"23,347",67%,62%,58%,"3,198",9%,7%,5%,318,1%,2%,3%,"3,714",11%,11%,11%,253,1%,1%,1%
E14000709,Gateshead,E12000001,North East,"70,470","28,045","42,425","1,119",3%,4%,5%,"2,637",6%,3%,4%,408,1%,1%,5%,"7,482",18%,9%,7%,284,1%,1%,1%,156,0%,0%,1%,"21,502",51%,62%,58%,"2,775",7%,7%,5%,720,2%,2%,3%,"5,097",12%,11%,11%,245,1%,1%,1%
E14000733,Hartlepool,E12000001,North East,"66,804","29,037","37,767","1,045",3%,4%,5%,33,0%,3%,4%,481,1%,1%,5%,"2,592",7%,9%,7%,700,2%,1%,1%,180,0%,0%,1%,"23,871",63%,62%,58%,"3,214",9%,7%,5%,723,2%,2%,3%,"4,514",12%,11%,11%,414,1%,1%,1%
E14000746,Hexham,E12000001,North East,"55,819","18,787","37,032","3,637",10%,4%,5%,215,1%,3%,4%,776,2%,1%,5%,"1,081",3%,9%,7%,101,0%,1%,1%,138,0%,0%,1%,"24,097",65%,62%,58%,"1,938",5%,7%,5%,338,1%,2%,3%,"4,330",12%,11%,11%,381,1%,1%,1%
