ID,Name,Region Name,Year,Cons. A*-C %,Cons. KS4 Avg Att. 8,Cons. % Outstanding (Secondary),Cons. % Good (Secondary),Cons. % In need of Improvement (Secondary),Cons. % Inadequate (Secondary),Cons. % Outstanding (Primary),Cons. % Good (Primary),Cons. % In need of Improvement (Primary),Cons. % Inadequate (Primary),Cons. Average Progress 8,
E14000530,Aldershot,South East,2018,0.512,39.2,0.33,0.26,0.41,0.00,0.50,0.33,0.17,0.00,-0.43,
E14000531,Aldridge-Brownhills,West Midlands,2018,0.598,43.9,0.20,0.61,0.20,0.00,0.22,0.63,0.13,0.03,-0.23,
E14000532,Altrincham and Sale West,North West,2018,0.848,60.3,0.76,0.24,0.00,0.00,0.64,0.36,0.00,0.00,0.39,
E14000533,Amber Valley,East Midlands,2018,0.583,43.0,0.00,0.65,0.12,0.23,0.06,0.81,0.08,0.05,-0.15,
E14000534,Arundel and South Downs,South East,2018,0.658,48.2,0.34,0.43,0.23,0.00,0.26,0.62,0.12,0.00,0.09,
E14000535,Ashfield,East Midlands,2018,0.569,42.3,0.00,0.93,0.00,0.07,0.14,0.60,0.20,0.06,-0.33,
E14000536,Ashford,South East,2018,0.611,44.9,0.17,0.72,0.12,0.00,0.13,0.87,0.00,0.00,-0.08,
E14000537,Ashton-under-Lyne,North West,2018,0.549,41.3,0.33,0.16,0.27,0.24,0.15,0.65,0.20,0.00,-0.33,
E14000538,Aylesbury,South East,2018,0.737,54.5,0.44,0.12,0.28,0.16,0.15,0.81,0.00,0.04,0.13,
E14000539,Banbury,South East,2018,0.625,44.2,0.00,1.00,0.00,0.00,0.03,0.89,0.08,0.00,-0.27,
E14000540,Barking,London,2018,0.625,48.1,0.24,0.70,0.06,0.00,0.03,0.90,0.07,0.00,0.34,
E14000541,Barnsley Central,Yorkshire and The Humber,2018,0.571,39.1,0.00,1.00,0.00,0.00,0.13,0.61,0.23,0.03,-0.24,
E14000542,Barnsley East,Yorkshire and The Humber,2018,0.586,40.7,0.00,0.27,0.73,0.00,0.26,0.65,0.05,0.04,-0.34,
E14000543,Barrow and Furness,North West,2018,0.624,45.2,0.00,0.78,0.22,0.00,0.15,0.74,0.11,0.00,-0.20,
E14000544,Basildon and Billericay,East of England,2018,0.660,47.0,0.32,0.68,0.00,0.00,0.15,0.77,0.08,0.00,-0.01,
E14000545,Basingstoke,South East,2018,0.569,42.7,0.00,0.38,0.62,0.00,0.16,0.79,0.02,0.02,-0.38,
E14000546,Bassetlaw,East Midlands,2018,0.696,47.1,0.53,0.47,0.00,0.00,0.07,0.72,0.18,0.03,0.12,
E14000547,Bath,South West,2018,0.713,50.5,0.33,0.43,0.02,0.21,0.24,0.68,0.08,0.00,0.03,
E14000548,Batley and Spen,Yorkshire and The Humber,2018,0.654,48.2,0.38,0.62,0.00,0.00,0.07,0.73,0.10,0.10,0.10,
E14000549,Battersea,London,2018,0.801,55.8,0.44,0.56,0.00,0.00,0.35,0.50,0.10,0.05,0.78,
E14000550,Beaconsfield,South East,2018,0.755,54.2,0.36,0.45,0.13,0.05,0.25,0.69,0.03,0.03,0.16,
E14000551,Beckenham,London,2018,0.689,48.1,0.51,0.49,0.00,0.00,0.24,0.76,0.00,0.00,-0.06,
E14000552,Bedford,East of England,2018,0.582,43.7,0.18,0.82,0.00,0.00,0.20,0.54,0.26,0.00,0.03,
E14000553,Bermondsey and Old Southwark,London,2018,0.662,48.8,0.43,0.57,0.00,0.00,0.37,0.43,0.18,0.03,0.18,
E14000554,Berwick-upon-Tweed,North East,2018,0.540,40.7,0.00,0.57,0.28,0.15,0.25,0.64,0.11,0.00,-0.34,
E14000555,Bethnal Green and Bow,London,2018,0.662,48.0,0.53,0.36,0.10,0.00,0.25,0.73,0.02,0.00,0.18,
E14000556,Beverley and Holderness,Yorkshire and The Humber,2018,0.683,48.0,0.00,0.75,0.25,0.00,0.12,0.79,0.08,0.01,-0.01,
E14000557,Bexhill and Battle,South East,2018,0.697,48.1,0.19,0.81,0.00,0.00,0.13,0.83,0.04,0.00,0.07,
E14000558,Bexleyheath and Crayford,London,2018,0.716,51.8,0.32,0.36,0.33,0.00,0.19,0.71,0.10,0.00,0.02,
E14000559,Birkenhead,North West,2018,0.674,46.3,0.28,0.19,0.53,0.00,0.13,0.74,0.13,0.00,-0.04,
E14000560,"Birmingham, Edgbaston",West Midlands,2018,0.670,50.7,0.52,0.31,0.00,0.17,0.17,0.52,0.31,0.00,0.30,
E14000561,"Birmingham, Erdington",West Midlands,2018,0.456,36.4,0.00,0.62,0.38,0.00,0.17,0.68,0.15,0.00,-0.39,
E14000562,"Birmingham, Hall Green",West Midlands,2018,0.675,52.1,0.49,0.51,0.00,0.00,0.35,0.56,0.09,0.00,0.17,
E14000563,"Birmingham, Hodge Hill",West Midlands,2018,0.477,40.5,0.22,0.56,0.16,0.06,0.17,0.54,0.23,0.05,-0.20,
E14000564,"Birmingham, Ladywood",West Midlands,2018,0.586,45.0,0.48,0.22,0.14,0.15,0.22,0.59,0.13,0.06,0.05,
E14000565,"Birmingham, Northfield",West Midlands,2018,0.530,41.3,0.00,0.94,0.00,0.06,0.02,0.61,0.31,0.07,-0.31,
E14000566,"Birmingham, Perry Barr",West Midlands,2018,0.620,46.7,0.46,0.31,0.23,0.00,0.03,0.77,0.17,0.03,-0.06,
E14000567,"Birmingham, Selly Oak",West Midlands,2018,0.588,45.3,0.40,0.47,0.13,0.00,0.22,0.68,0.10,0.00,0.04,
E14000568,"Birmingham, Yardley",West Midlands,2018,0.536,41.7,0.34,0.49,0.16,0.00,0.04,0.77,0.13,0.06,-0.26,
E14000569,Bishop Auckland,North East,2018,0.616,44.7,0.35,0.20,0.45,0.00,0.25,0.67,0.08,0.00,-0.23,
E14000570,Blackburn,North West,2018,0.685,47.5,0.16,0.51,0.34,0.00,0.14,0.74,0.13,0.00,0.23,
E14000571,Blackley and Broughton,North West,2018,0.545,42.6,0.10,0.48,0.14,0.28,0.14,0.76,0.07,0.03,-0.22,
E14000572,Blackpool North and Cleveleys,North West,2018,0.492,39.7,0.00,0.69,0.31,0.00,0.10,0.90,0.00,0.00,-0.58,
E14000573,Blackpool South,North West,2018,0.435,35.8,0.00,0.00,0.64,0.36,0.06,0.74,0.19,0.00,-0.73,
