ID,Name,Region,Atrial Fibrilliation,Asthma,Cancer,Coronary Heart Disease,Chronic Kidney Disease,COPD,Cardiovascular Disease (Primary Prevention),Dementia,Depression,Diabetes,Epilepsy,Heart Failure,High Blood Pressure,Learning Disabilities,Serious Mental Illness,Obesity,Osteoporisis,Peripheral Arterial Disease,Palliative Care,Rheumatoid Arthritis,Stroke & Transient Ischaemic Attack
E14000530,Aldershot,South East,0.01776,0.05202,0.02649,0.02604,0.03643,0.01796,0.01334,0.00646,0.11416,0.07112,0.00794,0.00716,0.13918,0.00415,0.00836,0.1063,0.01036,0.00536,0.0024,0.00587,0.01451
E14000531,Aldridge-Brownhills,West Midlands,0.02574,0.0644,0.03171,0.04406,0.06185,0.02458,0.01054,0.00962,0.09785,0.08061,0.00863,0.01278,0.17092,0.00387,0.00831,0.13755,0.00546,0.00697,0.00404,0.01091,0.02152
E14000532,Altrincham and Sale West,North West,0.02161,0.064,0.03415,0.03132,0.04418,0.01557,0.01754,0.00852,0.11248,0.05649,0.00719,0.00811,0.13145,0.00317,0.00805,0.07017,0.00843,0.00628,0.00312,0.00642,0.01855
E14000533,Amber Valley,East Midlands,0.02284,0.0658,0.03014,0.03972,0.05398,0.02499,0.01262,0.00847,0.12362,0.07367,0.00887,0.01165,0.1564,0.00736,0.00859,0.13045,0.00397,0.00825,0.00689,0.00848,0.02153
E14000534,Arundel and South Downs,South East,0.02921,0.06081,0.03974,0.03744,0.04429,0.01661,0.0128,0.01,0.0839,0.06275,0.00618,0.00789,0.16109,0.00326,0.00704,0.06821,0.00354,0.00515,0.00291,0.00776,0.02195
E14000535,Ashfield,East Midlands,0.02,0.06277,0.03063,0.04094,0.05546,0.02487,0.01072,0.00971,0.12017,0.07782,0.0103,0.01179,0.15726,0.00701,0.00784,0.14617,0.00786,0.00627,0.00507,0.00826,0.0212
E14000536,Ashford,South East,0.02416,0.05732,0.02841,0.02933,0.04569,0.01732,0.01417,0.00717,0.12623,0.06312,0.00814,0.00616,0.14579,0.00387,0.00708,0.09008,0.0064,0.00555,0.0013,0.0082,0.01795
E14000537,Ashton-under-Lyne,North West,0.0155,0.06333,0.02401,0.03588,0.03066,0.02807,0.01342,0.00787,0.13671,0.07865,0.00965,0.00866,0.14872,0.00541,0.00946,0.1039,0.00526,0.00867,0.00381,0.00779,0.01809
E14000538,Aylesbury,South East,0.01805,0.06412,0.02484,0.02923,0.03012,0.01543,0.01239,0.00784,0.10005,0.06258,0.00771,0.00592,0.12576,0.00415,0.00886,0.07667,0.0043,0.00574,0.00599,0.00726,0.01507
E14000539,Banbury,South East,0.0177,0.05747,0.0309,0.02539,0.03192,0.01449,0.01156,0.00659,0.11248,0.05509,0.00765,0.00695,0.12184,0.00398,0.00769,0.10687,0.01117,0.00492,0.00213,0.0077,0.01665
E14000540,Barking,London,0.0077,0.04385,0.0136,0.01756,0.02396,0.01476,0.01101,0.00357,0.06383,0.08048,0.00622,0.00443,0.11208,0.00411,0.00827,0.12782,0.00528,0.00284,0.00159,0.00671,0.00886
E14000541,Barnsley Central,Yorkshire and The Humber,0.01994,0.05575,0.02639,0.0446,0.04444,0.03094,0.00965,0.00788,0.112,0.07316,0.00942,0.00888,0.15107,0.00589,0.00818,0.14917,0.00244,0.00983,0.00363,0.00738,0.02107
E14000542,Barnsley East,Yorkshire and The Humber,0.0213,0.05868,0.02732,0.04454,0.04959,0.0343,0.01065,0.00819,0.12084,0.07951,0.00927,0.01013,0.15787,0.00597,0.00823,0.16553,0.00346,0.00987,0.00397,0.0077,0.02172
E14000543,Barrow and Furness,North West,0.02218,0.07031,0.03261,0.04062,0.03536,0.02592,0.00836,0.00989,0.10706,0.07293,0.01105,0.01154,0.16287,0.0059,0.01057,0.11327,0.00278,0.00807,0.00787,0.01193,0.02238
E14000544,Basildon and Billericay,East of England,0.01684,0.06067,0.02531,0.02859,0.05291,0.01901,0.0114,0.00649,0.09134,0.0633,0.00738,0.0079,0.14171,0.00395,0.00861,0.08028,0.00389,0.00484,0.00389,0.00847,0.01798
E14000545,Basingstoke,South East,0.01465,0.05906,0.02404,0.02253,0.03358,0.01448,0.01332,0.00541,0.1119,0.05995,0.00726,0.00467,0.1222,0.00457,0.00842,0.07876,0.00537,0.00532,0.00197,0.00626,0.01381
E14000546,Bassetlaw,East Midlands,0.02517,0.05987,0.03108,0.0367,0.06445,0.02557,0.00845,0.01029,0.11681,0.07917,0.00915,0.0108,0.14954,0.00549,0.00723,0.12872,0.00412,0.00749,0.00524,0.00793,0.02063
E14000547,Bath,South West,0.01759,0.05613,0.02377,0.02273,0.02394,0.01111,0.01065,0.00662,0.0776,0.03789,0.00663,0.00634,0.09836,0.0039,0.0096,0.05152,0.01007,0.00381,0.00181,0.00545,0.01463
E14000548,Batley and Spen,Yorkshire and The Humber,0.01608,0.06779,0.02526,0.03639,0.04522,0.02656,0.00924,0.00703,0.11011,0.07829,0.00847,0.00821,0.14628,0.00718,0.0087,0.11455,0.00507,0.00659,0.00384,0.00825,0.0176
E14000549,Battersea,London,0.00801,0.03934,0.01594,0.0115,0.01266,0.00842,0.00703,0.00288,0.06695,0.03729,0.00424,0.0031,0.07611,0.00284,0.00961,0.05056,0.00314,0.00247,0.00216,0.00375,0.00731
E14000550,Beaconsfield,South East,0.02152,0.05629,0.0309,0.02989,0.03249,0.01286,0.01166,0.00922,0.08129,0.05601,0.00619,0.00662,0.13845,0.00275,0.00677,0.07341,0.00551,0.00528,0.01034,0.00606,0.01837
