ONSConstID,ConstituencyName,RegionID,RegionName,CountryID,CountryName,DateThisUpdate,DateOfDataset,PopTotalConstNum,PopWhiteConstNum,PopMixedConstNum,PopAsianConstNum,PopBlackConstNum,PopOtherConstNum,PopTotalConst%,PopWhiteConst%,PopMixedConst%,PopAsianConst%,PopBlackConst%,PopOtherConst%,PopTotalRegNum,PopWhiteRegNum,PopMixedRegNum,PopAsianRegNum,PopBlackRegNum,PopOtherRegNum,PopTotalReg%,PopWhiteReg%,PopMixedReg%,PopAsianReg%,PopBlackReg%,PopOtherReg%,PopTotalUKNum,PopWhiteUKNum,PopMixedUKNum,PopAsianUKNum,PopBlackUKNum,PopOtherUKNum,PopTotalUK%,PopWhiteUK%,PopMixedUK%,PopAsianUK%,PopBlackUK%,PopOtherUK%
E14000554,Berwick-upon-Tweed,E12000001,North East,K02000001,United Kingdom,08/05/2018,2011,75718,74698,373,446,141,60,1,0.986528963,0.004926173,0.005890277,0.001862173,0.000792414,2596886,2475567,22449,74599,13220,11051,1,0.953282893,0.008644584,0.028726328,0.005090712,0.004255481,63182178,55073552,1250229,4373339,1904684,580374,1,0.871662765,0.019787684,0.069217921,0.030145906,0.009185723
E14000569,Bishop Auckland,E12000001,North East,K02000002,United Kingdom,08/05/2018,2011,87143,86058,461,455,93,76,1,0.987549201,0.005290155,0.005221303,0.001067211,0.00087213,2596886,2475567,22449,74599,13220,11051,1,0.953282893,0.008644584,0.028726328,0.005090712,0.004255481,63182178,55073552,1250229,4373339,1904684,580374,1,0.871662765,0.019787684,0.069217921,0.030145906,0.009185723
E14000574,Blaydon,E12000001,North East,K02000003,United Kingdom,08/05/2018,2011,88281,86692,504,773,160,152,1,0.982000657,0.005709043,0.008756131,0.001812395,0.001721775,2596886,2475567,22449,74599,13220,11051,1,0.953282893,0.008644584,0.028726328,0.005090712,0.004255481,63182178,55073552,1250229,4373339,1904684,580374,1,0.871662765,0.019787684,0.069217921,0.030145906,0.009185723
E14000575,Blyth Valley,E12000001,North East,K02000004,United Kingdom,08/05/2018,2011,82174,81071,442,570,47,44,1,0.986577263,0.00537883,0.006936501,0.000571957,0.000535449,2596886,2475567,22449,74599,13220,11051,1,0.953282893,0.008644584,0.028726328,0.005090712,0.004255481,63182178,55073552,1250229,4373339,1904684,580374,1,0.871662765,0.019787684,0.069217921,0.030145906,0.009185723
E14000641,City of Durham,E12000001,North East,K02000005,United Kingdom,08/05/2018,2011,94375,90135,994,2416,337,493,1,0.955072848,0.01053245,0.0256,0.003570861,0.005223841,2596886,2475567,22449,74599,13220,11051,1,0.953282893,0.008644584,0.028726328,0.005090712,0.004255481,63182178,55073552,1250229,4373339,1904684,580374,1,0.871662765,0.019787684,0.069217921,0.030145906,0.009185723
E14000658,Darlington,E12000001,North East,K02000006,United Kingdom,08/05/2018,2011,91417,87754,1033,2059,340,231,1,0.959930866,0.011299868,0.022523163,0.003719221,0.002526882,2596886,2475567,22449,74599,13220,11051,1,0.953282893,0.008644584,0.028726328,0.005090712,0.004255481,63182178,55073552,1250229,4373339,1904684,580374,1,0.871662765,0.019787684,0.069217921,0.030145906,0.009185723
E14000677,Easington,E12000001,North East,K02000007,United Kingdom,08/05/2018,2011,82769,81690,404,537,58,80,1,0.986963718,0.004881055,0.006487936,0.000700745,0.000966545,2596886,2475567,22449,74599,13220,11051,1,0.953282893,0.008644584,0.028726328,0.005090712,0.004255481,63182178,55073552,1250229,4373339,1904684,580374,1,0.871662765,0.019787684,0.069217921,0.030145906,0.009185723
E14000709,Gateshead,E12000001,North East,K02000008,United Kingdom,08/05/2018,2011,94506,89076,959,2690,872,909,1,0.942543331,0.010147504,0.028463801,0.009226927,0.009618437,2596886,2475567,22449,74599,13220,11051,1,0.953282893,0.008644584,0.028726328,0.005090712,0.004255481,63182178,55073552,1250229,4373339,1904684,580374,1,0.871662765,0.019787684,0.069217921,0.030145906,0.009185723
E14000733,Hartlepool,E12000001,North East,K02000009,United Kingdom,08/05/2018,2011,92028,89899,550,1304,170,105,1,0.976865737,0.005976442,0.014169601,0.001847264,0.001140957,2596886,2475567,22449,74599,13220,11051,1,0.953282893,0.008644584,0.028726328,0.005090712,0.004255481,63182178,55073552,1250229,4373339,1904684,580374,1,0.871662765,0.019787684,0.069217921,0.030145906,0.009185723
E14000746,Hexham,E12000001,North East,K02000010,United Kingdom,08/05/2018,2011,76236,74714,478,884,70,90,1,0.980035679,0.006270004,0.011595572,0.000918201,0.001180545,2596886,2475567,22449,74599,13220,11051,1,0.953282893,0.008644584,0.028726328,0.005090712,0.004255481,63182178,55073552,1250229,4373339,1904684,580374,1,0.871662765,0.019787684,0.069217921,0.030145906,0.009185723
E14000754,Houghton and Sunderland South,E12000001,North East,K02000011,United Kingdom,08/05/2018,2011,87002,85615,370,717,156,144,1,0.984057838,0.004252776,0.00824119,0.001793062,0.001655134,2596886,2475567,22449,74599,13220,11051,1,0.953282893,0.008644584,0.028726328,0.005090712,0.004255481,63182178,55073552,1250229,4373339,1904684,580374,1,0.871662765,0.019787684,0.069217921,0.030145906,0.009185723
E14000765,Jarrow,E12000001,North East,K02000012,United Kingdom,08/05/2018,2011,83260,81252,519,1083,149,257,1,0.975882777,0.006233485,0.013007447,0.001789575,0.003086716,2596886,2475567,22449,74599,13220,11051,1,0.953282893,0.008644584,0.028726328,0.005090712,0.004255481,63182178,55073552,1250229,4373339,1904684,580374,1,0.871662765,0.019787684,0.069217921,0.030145906,0.009185723
