objectid,pcon17cd,pcon17nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E14000530,Aldershot,484884,155126,-0.7841,51.28900146,53001999.8725476,40826.5691409278
2,E14000531,Aldridge-Brownhills,404723,302568,-1.93159997,52.6208992,44033493.8599304,38222.2918981779
3,E14000532,Altrincham and Sale West,374132,389051,-2.39039993,53.39770126,50926031.2828145,46097.7824569584
4,E14000533,Amber Valley,440478,349675,-1.39769995,53.0428009,124637738.388637,62106.0108285084
5,E14000534,Arundel and South Downs,510689,115542,-0.42629999,50.92869949,645220941.112194,328652.510839566
6,E14000535,Ashfield,450035,355939,-1.25419998,53.09830093,107725735.169015,60676.2165306384
7,E14000536,Ashford,595733,138824,0.79516,51.11529922,503659275.716923,151770.477917971
8,E14000537,Ashton-under-Lyne,392394,399819,-2.11610007,53.49499893,27805725.6396804,36824.9177724408
9,E14000538,Aylesbury,482160,199541,-0.81279999,51.68859863,185468104.907871,147583.769572608
10,E14000539,Banbury,441108,233685,-1.40260005,52.00009918,463644230.992815,187891.485542627
11,E14000540,Barking,546099,184533,0.10534,51.54079819,20454601.296369,30267.7435040945
12,E14000541,Barnsley Central,433719,408537,-1.49220002,53.57239914,48367325.7019914,49661.2950387081
13,E14000542,Barnsley East,439730,404883,-1.40190005,53.53910065,86809203.518126,58498.4569622204
14,E14000543,Barrow and Furness,325384,484663,-3.14669991,54.25220108,281406525.981398,192290.512767756
15,E14000544,Basildon and Billericay,569070,192467,0.44009,51.60570145,60215769.2759175,37877.9283388679
16,E14000545,Basingstoke,465234,151979,-1.06640005,51.26319885,58900191.2164218,47418.3932782507
17,E14000546,Bassetlaw,469769,385125,-0.95310003,53.35839844,479568098.00537,140663.250706056
18,E14000547,Bath,374693,164413,-2.36490011,51.37820053,28681651.7435048,33999.2097363553
19,E14000548,Batley and Spen,420570,425305,-1.68970001,53.72380066,55047036.054157,45295.2275299024
20,E14000549,Battersea,527493,175641,-0.16599999,51.4654007,10296476.2427599,21631.6760830296
21,E14000550,Beaconsfield,498198,185455,-0.5848,51.55939865,176279889.255957,104174.477593683
