ONSConstID,ConstituencyName,RegionID,RegionName,CountryID,CountryName,Date,CONLevelAll,CON%All,REGLevelAll,Reg%All,CTRYLevelAll,CTRY%All,CONLevelOwn,CON%Own,REGLevelOwn,REG%Own,CTRYLevelOwn,CTRY%Own,CONLevelOwn_out,CON%Own_out,REGLevelOwn_out,REG%Own_out,CTRYLevelOwn_out,CTRY%Own_out,CONLevelOwn_mort,CON%Own_mort,REGLevelOwn_mort,REG%Own_mort,CTRYLevelOwn_mort,CTRY%Own_mort,CONLevelShare,CON%Share,REGLevelShare,REG%Share,CTRYLevelShare,CTRY%Share,CONLevelSoc_r,CON%Soc_r,REGLevelSoc_r,REG%Soc_r,CTRYLevelSoc_r,CTRY%Soc_r,CONLevelSoc_r_LA,CON%Soc_r_LA,REGLevelSoc_r_LA,REG%Soc_r_LA,CTRYLevelSoc_r_LA,CTRY%Soc_r_LA,CONLevelSoc_r_Other,CON%Soc_r_Other,REGLevelSoc_r_Other,REG%Soc_r_Other,CTRYLevelSoc_r_Other,CTRY%Soc_r_Other,CONLevelPrivate_rent,CON%Private_rent,REGLevelPrivate_rent,REG%Private_rent,CTRYLevelPrivate_rent,CTRY%Private_rent,CONLevelPrivate_r_land,CON%Private_r_land,REGLevelPrivate_r_land,REG%Private_r_land,CTRYLevelPrivate_r_land,CTRY%Private_r_land,CONLevelPrivate_r_Oth,CON%Private_r_Oth,REGLevelPrivate_r_Oth,REG%Private_r_Oth,CTRYLevelPrivate_r_Oth,CTRY%Private_r_Oth,CONLevelRent_free,CON%Rent_free,REGLevelRent_free,REG%Rent_free,CTRYLevelRent_free,CTRY%Rent_free
E14000554,Berwick-upon-Tweed,E12000001,North East,K02000001,United Kingdom,2011,33506,1,1129935,1,26442096,1,21017,0.627260789,698595,0.618261227,16785003,0.634783377,11733,0.350176088,323084,0.285931492,8093442,0.306081712,9284,0.277084701,375511,0.332329736,8691561,0.328701666,103,0.003074076,4098,0.003626757,192648,0.007285655,5859,0.174864203,259506,0.229664538,4799765,0.181519839,2895,0.086402435,167593,0.148320921,2601715,0.098392919,2964,0.088461768,91913,0.081343617,2198050,0.08312692,5531,0.165074912,154426,0.136668038,4301086,0.162660555,4787,0.142869934,139624,0.12356817,3925141,0.148442884,744,0.022204978,14802,0.013099869,375945,0.01421767,996,0.029726019,13310,0.011779439,363594,0.013750574
E14000569,Bishop Auckland,E12000001,North East,K02000001,United Kingdom,2011,39058,1,1129935,1,26442096,1,25340,0.648778739,698595,0.618261227,16785003,0.634783377,13078,0.334835373,323084,0.285931492,8093442,0.306081712,12262,0.313943366,375511,0.332329736,8691561,0.328701666,109,0.002790721,4098,0.003626757,192648,0.007285655,7451,0.190767576,259506,0.229664538,4799765,0.181519839,4275,0.109452609,167593,0.148320921,2601715,0.098392919,3176,0.081314967,91913,0.081343617,2198050,0.08312692,5530,0.141584311,154426,0.136668038,4301086,0.162660555,5046,0.129192483,139624,0.12356817,3925141,0.148442884,484,0.012391828,14802,0.013099869,375945,0.01421767,628,0.016078652,13310,0.011779439,363594,0.013750574
E14000574,Blaydon,E12000001,North East,K02000001,United Kingdom,2011,38768,1,1129935,1,26442096,1,26678,0.688144862,698595,0.618261227,16785003,0.634783377,12728,0.32831201,323084,0.285931492,8093442,0.306081712,13950,0.359832852,375511,0.332329736,8691561,0.328701666,148,0.003817582,4098,0.003626757,192648,0.007285655,8140,0.209966983,259506,0.229664538,4799765,0.181519839,6710,0.173080891,167593,0.148320921,2601715,0.098392919,1430,0.036886092,91913,0.081343617,2198050,0.08312692,3453,0.089068304,154426,0.136668038,4301086,0.162660555,3100,0.079962856,139624,0.12356817,3925141,0.148442884,353,0.009105448,14802,0.013099869,375945,0.01421767,349,0.00900227,13310,0.011779439,363594,0.013750574
E14000575,Blyth Valley,E12000001,North East,K02000001,United Kingdom,2011,36049,1,1129935,1,26442096,1,23485,0.651474382,698595,0.618261227,16785003,0.634783377,10225,0.28364171,323084,0.285931492,8093442,0.306081712,13260,0.367832672,375511,0.332329736,8691561,0.328701666,114,0.003162362,4098,0.003626757,192648,0.007285655,8263,0.22921579,259506,0.229664538,4799765,0.181519839,6282,0.174262809,167593,0.148320921,2601715,0.098392919,1981,0.054952981,91913,0.081343617,2198050,0.08312692,3748,0.103969597,154426,0.136668038,4301086,0.162660555,3300,0.091542068,139624,0.12356817,3925141,0.148442884,448,0.012427529,14802,0.013099869,375945,0.01421767,439,0.012177869,13310,0.011779439,363594,0.013750574
E14000641,City of Durham,E12000001,North East,K02000001,United Kingdom,2011,38131,1,1129935,1,26442096,1,24678,0.64718995,698595,0.618261227,16785003,0.634783377,12012,0.315019276,323084,0.285931492,8093442,0.306081712,12666,0.332170675,375511,0.332329736,8691561,0.328701666,97,0.002543862,4098,0.003626757,192648,0.007285655,7383,0.193621987,259506,0.229664538,4799765,0.181519839,5827,0.152815295,167593,0.148320921,2601715,0.098392919,1556,0.040806693,91913,0.081343617,2198050,0.08312692,5584,0.146442527,154426,0.136668038,4301086,0.162660555,5116,0.134169049,139624,0.12356817,3925141,0.148442884,468,0.012273478,14802,0.013099869,375945,0.01421767,389,0.010201673,13310,0.011779439,363594,0.013750574
E14000658,Darlington,E12000001,North East,K02000001,United Kingdom,2011,40740,1,1129935,1,26442096,1,25612,0.628669612,698595,0.618261227,16785003,0.634783377,11520,0.282768778,323084,0.285931492,8093442,0.306081712,14092,0.345900835,375511,0.332329736,8691561,0.328701666,158,0.003878252,4098,0.003626757,192648,0.007285655,6839,0.167869416,259506,0.229664538,4799765,0.181519839,4931,0.121035837,167593,0.148320921,2601715,0.098392919,1908,0.046833579,91913,0.081343617,2198050,0.08312692,7748,0.19018164,154426,0.136668038,4301086,0.162660555,7087,0.173956799,139624,0.12356817,3925141,0.148442884,661,0.01622484,14802,0.013099869,375945,0.01421767,383,0.00940108,13310,0.011779439,363594,0.013750574
E14000677,Easington,E12000001,North East,K02000001,United Kingdom,2011,36073,1,1129935,1,26442096,1,23024,0.638261303,698595,0.618261227,16785003,0.634783377,10409,0.288553766,323084,0.285931492,8093442,0.306081712,12615,0.349707537,375511,0.332329736,8691561,0.328701666,53,0.001469243,4098,0.003626757,192648,0.007285655,8160,0.226207967,259506,0.229664538,4799765,0.181519839,6272,0.173869653,167593,0.148320921,2601715,0.098392919,1888,0.052338314,91913,0.081343617,2198050,0.08312692,4270,0.118371081,154426,0.136668038,4301086,0.162660555,3873,0.10736562,139624,0.12356817,3925141,0.148442884,397,0.011005461,14802,0.013099869,375945,0.01421767,566,0.015690406,13310,0.011779439,363594,0.013750574
E14000709,Gateshead,E12000001,North East,K02000001,United Kingdom,2011,42712,1,1129935,1,26442096,1,20384,0.477242929,698595,0.618261227,16785003,0.634783377,8336,0.195167634,323084,0.285931492,8093442,0.306081712,12048,0.282075295,375511,0.332329736,8691561,0.328701666,193,0.004518636,4098,0.003626757,192648,0.007285655,14716,0.344540176,259506,0.229664538,4799765,0.181519839,11520,0.269713429,167593,0.148320921,2601715,0.098392919,3196,0.074826747,91913,0.081343617,2198050,0.08312692,7018,0.164309796,154426,0.136668038,4301086,0.162660555,6440,0.150777299,139624,0.12356817,3925141,0.148442884,578,0.013532497,14802,0.013099869,375945,0.01421767,401,0.009388462,13310,0.011779439,363594,0.013750574
E14000733,Hartlepool,E12000001,North East,K02000001,United Kingdom,2011,40434,1,1129935,1,26442096,1,24194,0.598357818,698595,0.618261227,16785003,0.634783377,11090,0.274274126,323084,0.285931492,8093442,0.306081712,13104,0.324083692,375511,0.332329736,8691561,0.328701666,200,0.004946332,4098,0.003626757,192648,0.007285655,9515,0.235321759,259506,0.229664538,4799765,0.181519839,4016,0.099322352,167593,0.148320921,2601715,0.098392919,5499,0.135999406,91913,0.081343617,2198050,0.08312692,5971,0.147672751,154426,0.136668038,4301086,0.162660555,5525,0.13664243,139624,0.12356817,3925141,0.148442884,446,0.011030321,14802,0.013099869,375945,0.01421767,554,0.01370134,13310,0.011779439,363594,0.013750574
E14000746,Hexham,E12000001,North East,K02000001,United Kingdom,2011,32612,1,1129935,1,26442096,1,23063,0.707193671,698595,0.618261227,16785003,0.634783377,12853,0.394118729,323084,0.285931492,8093442,0.306081712,10210,0.313074942,375511,0.332329736,8691561,0.328701666,188,0.005764749,4098,0.003626757,192648,0.007285655,4156,0.127437753,259506,0.229664538,4799765,0.181519839,1657,0.050809518,167593,0.148320921,2601715,0.098392919,2499,0.076628235,91913,0.081343617,2198050,0.08312692,4496,0.137863363,154426,0.136668038,4301086,0.162660555,3954,0.121243714,139624,0.12356817,3925141,0.148442884,542,0.016619649,14802,0.013099869,375945,0.01421767,709,0.021740464,13310,0.011779439,363594,0.013750574
E14000754,Houghton and Sunderland South,E12000001,North East,K02000001,United Kingdom,2011,38228,1,1129935,1,26442096,1,23632,0.618185623,698595,0.618261227,16785003,0.634783377,10997,0.287668724,323084,0.285931492,8093442,0.306081712,12635,0.330516899,375511,0.332329736,8691561,0.328701666,155,0.00405462,4098,0.003626757,192648,0.007285655,10928,0.285863765,259506,0.229664538,4799765,0.181519839,5478,0.143298106,167593,0.148320921,2601715,0.098392919,5450,0.142565659,91913,0.081343617,2198050,0.08312692,3235,0.084623836,154426,0.136668038,4301086,0.162660555,2812,0.073558648,139624,0.12356817,3925141,0.148442884,423,0.011065188,14802,0.013099869,375945,0.01421767,278,0.007272157,13310,0.011779439,363594,0.013750574
E14000765,Jarrow,E12000001,North East,K02000001,United Kingdom,2011,36941,1,1129935,1,26442096,1,22319,0.604179638,698595,0.618261227,16785003,0.634783377,9530,0.257978939,323084,0.285931492,8093442,0.306081712,12789,0.346200698,375511,0.332329736,8691561,0.328701666,75,0.002030264,4098,0.003626757,192648,0.007285655,11338,0.306921848,259506,0.229664538,4799765,0.181519839,9805,0.265423242,167593,0.148320921,2601715,0.098392919,1533,0.041498606,91913,0.081343617,2198050,0.08312692,2911,0.078801332,154426,0.136668038,4301086,0.162660555,2592,0.07016594,139624,0.12356817,3925141,0.148442884,319,0.008635392,14802,0.013099869,375945,0.01421767,298,0.008066918,13310,0.011779439,363594,0.013750574
E14000819,Middlesbrough,E12000001,North East,K02000001,United Kingdom,2011,38546,1,1129935,1,26442096,1,20407,0.529419395,698595,0.618261227,16785003,0.634783377,9688,0.251336066,323084,0.285931492,8093442,0.306081712,10719,0.278083329,375511,0.332329736,8691561,0.328701666,208,0.00539615,4098,0.003626757,192648,0.007285655,9272,0.240543766,259506,0.229664538,4799765,0.181519839,4298,0.111503139,167593,0.148320921,2601715,0.098392919,4974,0.129040627,91913,0.081343617,2198050,0.08312692,7940,0.205987651,154426,0.136668038,4301086,0.162660555,7261,0.188372334,139624,0.12356817,3925141,0.148442884,679,0.017615317,14802,0.013099869,375945,0.01421767,719,0.018653038,13310,0.011779439,363594,0.013750574
