ONSConstID,ConstituencyName,RegionID,RegionName,CountryID,CountryName,Date,ConNumAllcategories:Countryofbirth,ConNumEurope:UnitedKingdom:Total,ConNumEurope:UnitedKingdom:England,ConNumEurope:UnitedKingdom:NorthernIreland,ConNumEurope:UnitedKingdom:Scotland,ConNumEurope:UnitedKingdom:Wales,ConNumEurope:UnitedKingdomnototherwisespecified,ConNumEurope:ChannelIslandsandIsleofMan,ConNumEurope:Ireland,ConNumEurope:OtherEurope:Total,ConNumEurope:OtherEurope:EUCountries:Total,ConNumEurope:OtherEurope:RestofEurope:Total,ConNumAfrica:NorthAfrica,ConNumAfrica:CentralandWesternAfrica:Total,ConNumAfrica:SouthandEasternAfrica:Total,ConNumMiddleEastandAsia:MiddleEast:Total,ConNumMiddleEastandAsia:EasternAsia:Total,ConNumMiddleEastandAsia:SouthernAsia:Total,ConNumMiddleEastandAsia:South-EastAsia:Total,ConNumMiddleEastandAsia:CentralAsia,ConNumTheAmericasandtheCaribbean:NorthAmericasandtheCaribbean:Total,ConNumTheAmericasandtheCaribbean:CentralAmerica,ConNumTheAmericasandtheCaribbean:SouthAmerica,ConNumAntarcticaandOceania:Australia,ConNumAntarcticaandOceania:OtherAntarcticaandOceania,ConNumOther,Con%Allcategories:Countryofbirth,Con%Europe:UnitedKingdom:Total,Con%Europe:UnitedKingdom:England,Con%Europe:UnitedKingdom:NorthernIreland,Con%Europe:UnitedKingdom:Scotland,Con%Europe:UnitedKingdom:Wales,Con%Europe:UnitedKingdomnototherwisespecified,Con%Europe:ChannelIslandsandIsleofMan,Con%Europe:Ireland,Con%Europe:OtherEurope:Total,Con%Europe:OtherEurope:EUCountries:Total,Con%Europe:OtherEurope:RestofEurope:Total,Con%Africa:NorthAfrica,Con%Africa:CentralandWesternAfrica:Total,Con%Africa:SouthandEasternAfrica:Total,Con%MiddleEastandAsia:MiddleEast:Total,Con%MiddleEastandAsia:EasternAsia:Total,Con%MiddleEastandAsia:SouthernAsia:Total,Con%MiddleEastandAsia:South-EastAsia:Total,Con%MiddleEastandAsia:CentralAsia,Con%TheAmericasandtheCaribbean:NorthAmericasandtheCaribbean:Total,Con%TheAmericasandtheCaribbean:CentralAmerica,Con%TheAmericasandtheCaribbean:SouthAmerica,Con%AntarcticaandOceania:Australia,Con%AntarcticaandOceania:OtherAntarcticaandOceania,Con%Other,REG%Allcategories:Countryofbirth,REG%Europe:UnitedKingdom:Total,REG%Europe:UnitedKingdom:England,REG%Europe:UnitedKingdom:NorthernIreland,REG%Europe:UnitedKingdom:Scotland,REG%Europe:UnitedKingdom:Wales,REG%Europe:UnitedKingdomnototherwisespecified,REG%Europe:ChannelIslandsandIsleofMan,REG%Europe:Ireland,REG%Europe:OtherEurope:Total,REG%Europe:OtherEurope:EUCountries:Total,REG%Europe:OtherEurope:RestofEurope:Total,REG%Africa:NorthAfrica,REG%Africa:CentralandWesternAfrica:Total,REG%Africa:SouthandEasternAfrica:Total,REG%MiddleEastandAsia:MiddleEast:Total,REG%MiddleEastandAsia:EasternAsia:Total,REG%MiddleEastandAsia:SouthernAsia:Total,REG%MiddleEastandAsia:South-EastAsia:Total,REG%MiddleEastandAsia:CentralAsia,REG%TheAmericasandtheCaribbean:NorthAmericasandtheCaribbean:Total,REG%TheAmericasandtheCaribbean:CentralAmerica,REG%TheAmericasandtheCaribbean:SouthAmerica,REG%AntarcticaandOceania:Australia,REG%AntarcticaandOceania:OtherAntarcticaandOceania,REG%Other,uk%Allcategories:Countryofbirth,uk%Europe:UnitedKingdom:Total,uk%Europe:UnitedKingdom:England,uk%Europe:UnitedKingdom:NorthernIreland,uk%Europe:UnitedKingdom:Scotland,uk%Europe:UnitedKingdom:Wales,uk%Europe:UnitedKingdomnototherwisespecified,uk%Europe:ChannelIslandsandIsleofMan,uk%Europe:Ireland,uk%Europe:OtherEurope:Total,uk%Europe:OtherEurope:EUCountries:Total,uk%Europe:OtherEurope:RestofEurope:Total,uk%Africa:NorthAfrica,uk%Africa:CentralandWesternAfrica:Total,uk%Africa:SouthandEasternAfrica:Total,uk%MiddleEastandAsia:MiddleEast:Total,uk%MiddleEastandAsia:EasternAsia:Total,uk%MiddleEastandAsia:SouthernAsia:Total,uk%MiddleEastandAsia:South-EastAsia:Total,uk%MiddleEastandAsia:CentralAsia,uk%TheAmericasandtheCaribbean:NorthAmericasandtheCaribbean:Total,uk%TheAmericasandtheCaribbean:CentralAmerica,uk%TheAmericasandtheCaribbean:SouthAmerica,uk%AntarcticaandOceania:Australia,uk%AntarcticaandOceania:OtherAntarcticaandOceania,uk%Other,ConNumRoW,Con%RoW,Reg%RoW,UK%RoW
E14000554,Berwick-upon-Tweed,E12000001,North East,K02000001,United Kingdom,2011,75718,73315,67017,302,5603,389,4,20,177,1102,1039,63,36,49,203,69,95,187,133,2,199,3,39,68,20,1,1,0.968263821,0.885086769,0.003988484,0.073998257,0.005137484,5.28276E-05,0.000264138,0.002337621,0.014554003,0.013721968,0.000832035,0.000475448,0.000647138,0.002681001,0.000911276,0.001254655,0.00246969,0.001756518,2.64138E-05,0.002628173,3.96207E-05,0.000515069,0.000898069,0.000264138,1.32069E-05,1,0.950489548,0.925674057,0.00359315,0.017762428,0.003404847,5.5066E-05,0.000246064,0.002151038,0.015323353,0.01379999,0.001523363,0.001199128,0.001979679,0.003616639,0.003514979,0.004349055,0.009957695,0.003479552,7.12392E-05,0.002067861,9.39587E-05,0.000447844,0.00070238,0.000308831,1.15523E-06,1,0.87348521,0.718668815,0.029446532,0.081677415,0.043565402,0.000127045,0.000449589,0.0074094,0.039725158,0.035070934,0.004654224,0.002154104,0.006529579,0.012919561,0.004870661,0.005564591,0.026646454,0.005635339,0.000157212,0.008687608,0.000244879,0.002381178,0.001999235,0.001138501,1.741E-06,1104,0.014580417,0.031789998,0.078930644
E14000569,Bishop Auckland,E12000001,North East,K02000001,United Kingdom,2011,87143,85041,83341,200,1202,292,6,20,157,981,926,55,35,24,183,49,110,181,121,4,128,4,23,63,19,0,1,0.975878728,0.956370563,0.002295078,0.01379342,0.003350814,6.88523E-05,0.000229508,0.001801636,0.011257359,0.010626212,0.000631147,0.000401639,0.000275409,0.002099997,0.000562294,0.001262293,0.002077046,0.001388522,4.59016E-05,0.00146885,4.59016E-05,0.000263934,0.00072295,0.000218032,0,1,0.950489548,0.925674057,0.00359315,0.017762428,0.003404847,5.5066E-05,0.000246064,0.002151038,0.015323353,0.01379999,0.001523363,0.001199128,0.001979679,0.003616639,0.003514979,0.004349055,0.009957695,0.003479552,7.12392E-05,0.002067861,9.39587E-05,0.000447844,0.00070238,0.000308831,1.15523E-06,1,0.87348521,0.718668815,0.029446532,0.081677415,0.043565402,0.000127045,0.000449589,0.0074094,0.039725158,0.035070934,0.004654224,0.002154104,0.006529579,0.012919561,0.004870661,0.005564591,0.026646454,0.005635339,0.000157212,0.008687608,0.000244879,0.002381178,0.001999235,0.001138501,1.741E-06,944,0.010832769,0.031789998,0.078930644
E14000574,Blaydon,E12000001,North East,K02000001,United Kingdom,2011,88281,86025,84356,195,1237,231,6,12,130,883,803,80,30,65,240,134,151,250,132,6,137,6,22,43,15,0,1,0.974445237,0.955539697,0.002208856,0.014012075,0.002616645,6.79648E-05,0.00013593,0.001472571,0.010002152,0.009095955,0.000906197,0.000339824,0.000736285,0.002718592,0.00151788,0.001710447,0.002831866,0.001495225,6.79648E-05,0.001551863,6.79648E-05,0.000249204,0.000487081,0.000169912,0,1,0.950489548,0.925674057,0.00359315,0.017762428,0.003404847,5.5066E-05,0.000246064,0.002151038,0.015323353,0.01379999,0.001523363,0.001199128,0.001979679,0.003616639,0.003514979,0.004349055,0.009957695,0.003479552,7.12392E-05,0.002067861,9.39587E-05,0.000447844,0.00070238,0.000308831,1.15523E-06,1,0.87348521,0.718668815,0.029446532,0.081677415,0.043565402,0.000127045,0.000449589,0.0074094,0.039725158,0.035070934,0.004654224,0.002154104,0.006529579,0.012919561,0.004870661,0.005564591,0.026646454,0.005635339,0.000157212,0.008687608,0.000244879,0.002381178,0.001999235,0.001138501,1.741E-06,1231,0.01394411,0.031789998,0.078930644
E14000575,Blyth Valley,E12000001,North East,K02000001,United Kingdom,2011,82174,80262,78206,216,1632,207,1,6,121,863,789,74,33,21,172,56,90,220,126,0,111,1,27,53,12,0,1,0.9767323,0.95171222,0.002628569,0.019860296,0.002519045,1.21693E-05,7.30158E-05,0.001472485,0.010502105,0.009601577,0.000900528,0.000401587,0.000255555,0.002093119,0.000681481,0.001095237,0.002677246,0.001533332,0,0.001350792,1.21693E-05,0.000328571,0.000644973,0.000146032,0,1,0.950489548,0.925674057,0.00359315,0.017762428,0.003404847,5.5066E-05,0.000246064,0.002151038,0.015323353,0.01379999,0.001523363,0.001199128,0.001979679,0.003616639,0.003514979,0.004349055,0.009957695,0.003479552,7.12392E-05,0.002067861,9.39587E-05,0.000447844,0.00070238,0.000308831,1.15523E-06,1,0.87348521,0.718668815,0.029446532,0.081677415,0.043565402,0.000127045,0.000449589,0.0074094,0.039725158,0.035070934,0.004654224,0.002154104,0.006529579,0.012919561,0.004870661,0.005564591,0.026646454,0.005635339,0.000157212,0.008687608,0.000244879,0.002381178,0.001999235,0.001138501,1.741E-06,922,0.011220094,0.031789998,0.078930644
E14000641,City of Durham,E12000001,North East,K02000001,United Kingdom,2011,94375,87713,84779,431,1909,589,5,115,295,2202,1936,266,187,131,405,382,918,571,484,14,650,18,86,142,62,0,1,0.929409272,0.89832053,0.004566887,0.020227815,0.00624106,5.29801E-05,0.001218543,0.003125828,0.02333245,0.020513907,0.002818543,0.001981457,0.001388079,0.004291391,0.004047682,0.009727152,0.006050331,0.005128477,0.000148344,0.006887417,0.000190728,0.000911258,0.001504636,0.000656954,0,1,0.950489548,0.925674057,0.00359315,0.017762428,0.003404847,5.5066E-05,0.000246064,0.002151038,0.015323353,0.01379999,0.001523363,0.001199128,0.001979679,0.003616639,0.003514979,0.004349055,0.009957695,0.003479552,7.12392E-05,0.002067861,9.39587E-05,0.000447844,0.00070238,0.000308831,1.15523E-06,1,0.87348521,0.718668815,0.029446532,0.081677415,0.043565402,0.000127045,0.000449589,0.0074094,0.039725158,0.035070934,0.004654224,0.002154104,0.006529579,0.012919561,0.004870661,0.005564591,0.026646454,0.005635339,0.000157212,0.008687608,0.000244879,0.002381178,0.001999235,0.001138501,1.741E-06,4050,0.042913907,0.031789998,0.078930644
E14000658,Darlington,E12000001,North East,K02000001,United Kingdom,2011,91417,86356,83491,375,2043,444,3,27,230,2414,2318,96,76,76,296,177,275,797,291,8,248,13,27,79,27,0,1,0.944638306,0.913298402,0.004102082,0.022348141,0.004856865,3.28167E-05,0.00029535,0.002515943,0.026406467,0.025356334,0.001050133,0.000831355,0.000831355,0.00323791,0.001936183,0.003008193,0.008718291,0.003183215,8.75111E-05,0.002712843,0.000142205,0.00029535,0.000864172,0.00029535,0,1,0.950489548,0.925674057,0.00359315,0.017762428,0.003404847,5.5066E-05,0.000246064,0.002151038,0.015323353,0.01379999,0.001523363,0.001199128,0.001979679,0.003616639,0.003514979,0.004349055,0.009957695,0.003479552,7.12392E-05,0.002067861,9.39587E-05,0.000447844,0.00070238,0.000308831,1.15523E-06,1,0.87348521,0.718668815,0.029446532,0.081677415,0.043565402,0.000127045,0.000449589,0.0074094,0.039725158,0.035070934,0.004654224,0.002154104,0.006529579,0.012919561,0.004870661,0.005564591,0.026646454,0.005635339,0.000157212,0.008687608,0.000244879,0.002381178,0.001999235,0.001138501,1.741E-06,2390,0.026143934,0.031789998,0.078930644
E14000677,Easington,E12000001,North East,K02000001,United Kingdom,2011,82769,80951,79869,161,750,170,1,15,95,966,911,55,44,13,141,50,87,182,95,5,72,3,14,26,10,0,1,0.978035255,0.964962728,0.001945173,0.009061364,0.002053909,1.20818E-05,0.000181227,0.001147773,0.011671036,0.011006536,0.0006645,0.0005316,0.000157064,0.001703536,0.000604091,0.001051118,0.002198891,0.001147773,6.04091E-05,0.000869891,3.62455E-05,0.000169145,0.000314127,0.000120818,0,1,0.950489548,0.925674057,0.00359315,0.017762428,0.003404847,5.5066E-05,0.000246064,0.002151038,0.015323353,0.01379999,0.001523363,0.001199128,0.001979679,0.003616639,0.003514979,0.004349055,0.009957695,0.003479552,7.12392E-05,0.002067861,9.39587E-05,0.000447844,0.00070238,0.000308831,1.15523E-06,1,0.87348521,0.718668815,0.029446532,0.081677415,0.043565402,0.000127045,0.000449589,0.0074094,0.039725158,0.035070934,0.004654224,0.002154104,0.006529579,0.012919561,0.004870661,0.005564591,0.026646454,0.005635339,0.000157212,0.008687608,0.000244879,0.002381178,0.001999235,0.001138501,1.741E-06,742,0.008964709,0.031789998,0.078930644
E14000709,Gateshead,E12000001,North East,K02000001,United Kingdom,2011,94506,87393,85484,315,1356,234,4,17,250,2660,2336,324,124,317,553,1051,586,786,300,15,278,17,69,58,31,1,1,0.924734937,0.904535162,0.003333122,0.014348295,0.002476033,4.23254E-05,0.000179883,0.002645335,0.028146361,0.024718007,0.003428354,0.001312086,0.003354284,0.00585148,0.011120987,0.006200665,0.008316932,0.003174402,0.00015872,0.002941612,0.000179883,0.000730112,0.000613718,0.000328022,1.05813E-05,1,0.950489548,0.925674057,0.00359315,0.017762428,0.003404847,5.5066E-05,0.000246064,0.002151038,0.015323353,0.01379999,0.001523363,0.001199128,0.001979679,0.003616639,0.003514979,0.004349055,0.009957695,0.003479552,7.12392E-05,0.002067861,9.39587E-05,0.000447844,0.00070238,0.000308831,1.15523E-06,1,0.87348521,0.718668815,0.029446532,0.081677415,0.043565402,0.000127045,0.000449589,0.0074094,0.039725158,0.035070934,0.004654224,0.002154104,0.006529579,0.012919561,0.004870661,0.005564591,0.026646454,0.005635339,0.000157212,0.008687608,0.000244879,0.002381178,0.001999235,0.001138501,1.741E-06,4186,0.044293484,0.031789998,0.078930644
E14000733,Hartlepool,E12000001,North East,K02000001,United Kingdom,2011,92028,89469,87982,175,1060,251,1,6,145,929,869,60,51,56,229,92,174,427,254,2,94,6,12,59,23,0,1,0.972193246,0.95603512,0.001901595,0.011518234,0.002727431,1.08663E-05,6.51975E-05,0.001575607,0.010094754,0.009442778,0.000651975,0.000554179,0.00060851,0.002488373,0.000999696,0.001890729,0.004639892,0.00276003,2.17325E-05,0.001021428,6.51975E-05,0.000130395,0.000641109,0.000249924,0,1,0.950489548,0.925674057,0.00359315,0.017762428,0.003404847,5.5066E-05,0.000246064,0.002151038,0.015323353,0.01379999,0.001523363,0.001199128,0.001979679,0.003616639,0.003514979,0.004349055,0.009957695,0.003479552,7.12392E-05,0.002067861,9.39587E-05,0.000447844,0.00070238,0.000308831,1.15523E-06,1,0.87348521,0.718668815,0.029446532,0.081677415,0.043565402,0.000127045,0.000449589,0.0074094,0.039725158,0.035070934,0.004654224,0.002154104,0.006529579,0.012919561,0.004870661,0.005564591,0.026646454,0.005635339,0.000157212,0.008687608,0.000244879,0.002381178,0.001999235,0.001138501,1.741E-06,1479,0.016071196,0.031789998,0.078930644
E14000746,Hexham,E12000001,North East,K02000001,United Kingdom,2011,76236,73589,70438,316,2345,480,10,28,182,894,805,89,36,46,293,74,103,321,213,1,258,4,53,102,39,0,1,0.965278871,0.923946692,0.004145023,0.030759746,0.006296238,0.000131172,0.000367281,0.002387324,0.011726743,0.010559316,0.001167427,0.000472218,0.000603389,0.003843329,0.00097067,0.001351068,0.004210609,0.002793956,1.31172E-05,0.003384228,5.24686E-05,0.00069521,0.001337951,0.000511569,0,1,0.950489548,0.925674057,0.00359315,0.017762428,0.003404847,5.5066E-05,0.000246064,0.002151038,0.015323353,0.01379999,0.001523363,0.001199128,0.001979679,0.003616639,0.003514979,0.004349055,0.009957695,0.003479552,7.12392E-05,0.002067861,9.39587E-05,0.000447844,0.00070238,0.000308831,1.15523E-06,1,0.87348521,0.718668815,0.029446532,0.081677415,0.043565402,0.000127045,0.000449589,0.0074094,0.039725158,0.035070934,0.004654224,0.002154104,0.006529579,0.012919561,0.004870661,0.005564591,0.026646454,0.005635339,0.000157212,0.008687608,0.000244879,0.002381178,0.001999235,0.001138501,1.741E-06,1543,0.020239782,0.031789998,0.078930644
