ONSConstID,ConstituencyName,RegionID,RegionName,All#,GbHasRelig,RegHasRelig%,HasReligion#,HasReligion%,GbChristian%,RegChristian%,Christian#,Christian%,GbBuddhist%,RegBuddhist%,Buddhist#,Buddhist%,GbHindu%,RegHindu%,Hindu#,Hindu%,GbJewish%,RegJewish%,Jewish#,Jewish%,GbMuslim%,RegMuslim%,Muslim#,Muslim%,GbSikh%,RegSikh%,Sikh#,Sikh%,GbOther%,RegOther%,Other#,Other%,GbNoReligion%,RegNoReligion%,NoReligion#,NoReligion%,GbNotStated%,RegNotStated%,NotStated#,GbNotStated%
W07000049,Aberavon,W92000004,Wales,66133,0.666873424,0.602760738,38489,0.581993861,0.588114724,0.575591424,37579,0.568233711,0.004245273,0.002976051,150,0.002268157,0.013573312,0.003405957,84,0.001270168,0.004386952,0.000673749,19,0.0002873,0.045343708,0.014999399,376,0.005685513,0.00704259,0.000966882,54,0.000816536,0.004166865,0.004147277,227,0.003432477,0.261332921,0.320878446,22938,0.346846506,0.071793655,0.076360816,4706,0.071159633
W07000058,Aberconwy,W92000004,Wales,56415,0.666873424,0.602760738,37123,0.658034211,0.588114724,0.575591424,36363,0.644562616,0.004245273,0.002976051,192,0.00340335,0.013573312,0.003405957,72,0.001276256,0.004386952,0.000673749,35,0.000620402,0.045343708,0.014999399,230,0.00407693,0.00704259,0.000966882,2,3.54516E-05,0.004166865,0.004147277,229,0.004059204,0.261332921,0.320878446,14883,0.263812816,0.071793655,0.076360816,4409,0.078152973
S14000001,Aberdeen North,S92000003,Scotland,99654,0.666873424,0.56393215,42779,0.429275293,0.588114724,0.538240243,38174,0.383065406,0.004245273,0.002416247,423,0.004244687,0.013573312,0.00309306,1283,0.012874546,0.004386952,0.001111719,86,0.000862986,0.045343708,0.014491248,2305,0.02313003,0.00704259,0.001709974,83,0.000832882,0.004166865,0.002869659,425,0.004264756,0.261332921,0.366566246,49662,0.498344271,0.071793655,0.069501604,7213,0.072380436
S14000002,Aberdeen South,S92000003,Scotland,93197,0.666873424,0.56393215,43121,0.462686567,0.588114724,0.538240243,39828,0.427352812,0.004245273,0.002416247,393,0.004216874,0.013573312,0.00309306,884,0.009485284,0.004386952,0.001111719,63,0.000675987,0.045343708,0.014491248,1616,0.017339614,0.00704259,0.001709974,35,0.000375549,0.004166865,0.002869659,302,0.003240448,0.261332921,0.366566246,43363,0.465283217,0.071793655,0.069501604,6713,0.072030216
S14000003,Airdrie and Shotts,S92000003,Scotland,85845,0.666873424,0.56393215,61131,0.712109034,0.588114724,0.538240243,60217,0.701461937,0.004245273,0.002416247,73,0.00085037,0.013573312,0.00309306,53,0.000617392,0.004386952,0.001111719,8,9.31912E-05,0.045343708,0.014491248,612,0.007129128,0.00704259,0.001709974,48,0.000559147,0.004166865,0.002869659,120,0.001397868,0.261332921,0.366566246,19522,0.227409867,0.071793655,0.069501604,5192,0.0604811
E14000530,Aldershot,E12000008,South East,103922,0.666873424,0.649769594,69086,0.664787052,0.588114724,0.597600162,60422,0.581416832,0.004245273,0.005089435,3186,0.030657609,0.013573312,0.010712412,3352,0.03225496,0.004386952,0.002056921,72,0.000692827,0.045343708,0.023353427,1436,0.013818056,0.00704259,0.006362778,211,0.002030369,0.004166865,0.004594458,407,0.003916399,0.261332921,0.276590058,27577,0.265362483,0.071793655,0.073640349,7259,0.069850465
E14000531,Aldridge-Brownhills,E12000005,West Midlands,76974,0.666873424,0.714488275,57093,0.741717983,0.588114724,0.602203166,54016,0.701743446,0.004245273,0.002972055,149,0.001935719,0.013573312,0.012896996,544,0.007067321,0.004386952,0.000824906,28,0.000363759,0.045343708,0.067147853,556,0.007223218,0.00704259,0.023863736,1570,0.020396498,0.004166865,0.004579561,230,0.002988022,0.261332921,0.219732885,15181,0.197222439,0.071793655,0.06577884,4700,0.061059579
E14000532,Altrincham and Sale West,E12000002,North West,96591,0.666873424,0.739730724,70319,0.728007785,0.588114724,0.672538423,63044,0.652690209,0.004245273,0.002934555,328,0.003395762,0.013573312,0.005425133,1251,0.012951517,0.004386952,0.004313136,2215,0.022931743,0.045343708,0.05054581,3028,0.031348676,0.00704259,0.001255924,255,0.002639998,0.004166865,0.002717742,198,0.00204988,0.261332921,0.198224747,20050,0.207576275,0.071793655,0.062044529,6222,0.064415939
W07000043,Alyn and Deeside,W92000004,Wales,82505,0.666873424,0.602760738,54932,0.665802073,0.588114724,0.575591424,54099,0.655705715,0.004245273,0.002976051,178,0.002157445,0.013573312,0.003405957,126,0.00152718,0.004386952,0.000673749,36,0.000436337,0.045343708,0.014999399,296,0.003587661,0.00704259,0.000966882,11,0.000133325,0.004166865,0.004147277,186,0.002254409,0.261332921,0.320878446,21689,0.262881038,0.071793655,0.076360816,5884,0.07131689
E14000533,Amber Valley,E12000004,East Midlands,87883,0.666873424,0.656425606,53708,0.611130708,0.588114724,0.588140621,52744,0.600161578,0.004245273,0.002795363,149,0.001695436,0.013573312,0.019792324,105,0.00119477,0.004386952,0.000938405,46,0.000523423,0.045343708,0.031026277,142,0.001615785,0.00704259,0.00978002,131,0.001490618,0.004166865,0.003952597,391,0.004449097,0.261332921,0.275313232,27873,0.317160315,0.071793655,0.068261162,6302,0.071708977
S14000004,Angus,S92000003,Scotland,86004,0.666873424,0.56393215,44833,0.521289707,0.588114724,0.538240243,44150,0.513348216,0.004245273,0.002416247,123,0.001430166,0.013573312,0.00309306,62,0.000720897,0.004386952,0.001111719,13,0.000151156,0.045343708,0.014491248,238,0.002767313,0.00704259,0.001709974,2,2.32547E-05,0.004166865,0.002869659,245,0.002848705,0.261332921,0.366566246,35393,0.411527371,0.071793655,0.069501604,5778,0.067182922
W07000057,Arfon,W92000004,Wales,60573,0.666873424,0.602760738,35678,0.589008304,0.588114724,0.575591424,33694,0.556254437,0.004245273,0.002976051,244,0.004028197,0.013573312,0.003405957,199,0.003285292,0.004386952,0.000673749,33,0.000544797,0.045343708,0.014999399,1173,0.019365064,0.00704259,0.000966882,26,0.000429234,0.004166865,0.004147277,309,0.005101283,0.261332921,0.320878446,19678,0.324864213,0.071793655,0.076360816,5217,0.086127483
S14000005,Argyll and Bute,S92000003,Scotland,88166,0.666873424,0.56393215,52859,0.599539505,0.588114724,0.538240243,52037,0.590216183,0.004245273,0.002416247,212,0.002404555,0.013573312,0.00309306,52,0.000589797,0.004386952,0.001111719,43,0.000487716,0.045343708,0.014491248,186,0.002109657,0.00704259,0.001709974,13,0.000147449,0.004166865,0.002869659,316,0.003584148,0.261332921,0.366566246,28252,0.320440986,0.071793655,0.069501604,7055,0.080019509
E14000534,Arundel and South Downs,E12000008,South East,97267,0.666873424,0.649769594,65171,0.670021693,0.588114724,0.597600162,63694,0.654836687,0.004245273,0.005089435,305,0.003135699,0.013573312,0.010712412,141,0.001449618,0.004386952,0.002056921,228,0.002344063,0.045343708,0.023353427,297,0.003053451,0.00704259,0.006362778,41,0.00042152,0.004166865,0.004594458,465,0.004780655,0.261332921,0.276590058,24353,0.250372685,0.071793655,0.073640349,7743,0.079605622
E14000535,Ashfield,E12000004,East Midlands,101914,0.666873424,0.656425606,60562,0.594246129,0.588114724,0.588140621,59321,0.582069196,0.004245273,0.002795363,190,0.001864317,0.013573312,0.019792324,168,0.001648449,0.004386952,0.000938405,10,9.81219E-05,0.045343708,0.031026277,304,0.002982907,0.00704259,0.00978002,164,0.0016092,0.004166865,0.003952597,405,0.003973939,0.261332921,0.275313232,34404,0.337578743,0.071793655,0.068261162,6948,0.068175128
E14000536,Ashford,E12000008,South East,112940,0.666873424,0.649769594,74531,0.65991677,0.588114724,0.597600162,70845,0.627279972,0.004245273,0.005089435,794,0.007030282,0.013573312,0.010712412,1279,0.011324597,0.004386952,0.002056921,111,0.000982823,0.045343708,0.023353427,1009,0.008933947,0.00704259,0.006362778,91,0.000805738,0.004166865,0.004594458,402,0.003559412,0.261332921,0.276590058,29794,0.26380379,0.071793655,0.073640349,8615,0.07627944
E14000537,Ashton-under-Lyne,E12000002,North West,90484,0.666873424,0.739730724,67182,0.742473808,0.588114724,0.672538423,58853,0.650424384,0.004245273,0.002934555,241,0.002663454,0.013573312,0.005425133,2415,0.026689802,0.004386952,0.004313136,38,0.000419964,0.045343708,0.05054581,5371,0.059358561,0.00704259,0.001255924,30,0.00033155,0.004166865,0.002717742,234,0.002586093,0.261332921,0.198224747,18212,0.201273153,0.071793655,0.062044529,5090,0.056253039
E14000538,Aylesbury,E12000008,South East,108027,0.666873424,0.649769594,72486,0.670998917,0.588114724,0.597600162,63869,0.591231822,0.004245273,0.005089435,453,0.004193396,0.013573312,0.010712412,1202,0.011126848,0.004386952,0.002056921,179,0.001656993,0.045343708,0.023353427,6212,0.057504142,0.00704259,0.006362778,177,0.001638479,0.004166865,0.004594458,394,0.003647236,0.261332921,0.276590058,27967,0.258888981,0.071793655,0.073640349,7574,0.070112102
S14000006,"Ayr, Carrick and Cumnock",S92000003,Scotland,93308,0.666873424,0.56393215,53986,0.578578471,0.588114724,0.538240243,53148,0.569597462,0.004245273,0.002416247,129,0.001382518,0.013573312,0.00309306,117,0.001253912,0.004386952,0.001111719,38,0.000407253,0.045343708,0.014491248,208,0.002229176,0.00704259,0.001709974,82,0.00087881,0.004166865,0.002869659,264,0.002829339,0.261332921,0.366566246,32513,0.34844815,0.071793655,0.069501604,6809,0.072973378
E14000539,Banbury,E12000008,South East,117928,0.666873424,0.649769594,79484,0.674004477,0.588114724,0.597600162,74836,0.634590598,0.004245273,0.005089435,465,0.003943084,0.013573312,0.010712412,407,0.003451258,0.004386952,0.002056921,140,0.001187165,0.045343708,0.023353427,2763,0.02342955,0.00704259,0.006362778,387,0.003281663,0.004166865,0.004594458,486,0.004121159,0.261332921,0.276590058,30360,0.257445221,0.071793655,0.073640349,8084,0.068550302
S14000007,Banff and Buchan,S92000003,Scotland,91325,0.666873424,0.56393215,45198,0.49491377,0.588114724,0.538240243,44574,0.488081029,0.004245273,0.002416247,107,0.00117164,0.013573312,0.00309306,70,0.000766493,0.004386952,0.001111719,23,0.000251848,0.045343708,0.014491248,157,0.001719135,0.00704259,0.001709974,19,0.000208048,0.004166865,0.002869659,248,0.002715576,0.261332921,0.366566246,38702,0.423783192,0.071793655,0.069501604,7425,0.081303039
E14000540,Barking,E12000007,London,122313,0.666873424,0.707960823,92261,0.754302486,0.588114724,0.484219791,65382,0.534546614,0.004245273,0.010035061,606,0.004954502,0.013573312,0.050317344,3280,0.026816446,0.004386952,0.01817997,236,0.001929476,0.045343708,0.123908773,20382,0.166638052,0.00704259,0.015431234,2034,0.016629467,0.004166865,0.00586865,341,0.002787929,0.261332921,0.207289483,22256,0.181959399,0.071793655,0.084749694,7796,0.063738115
E14000541,Barnsley Central,E12000003,Yorkshire and The Humber,85714,0.666873424,0.6731769,59153,0.690120634,0.588114724,0.594999596,57988,0.676528922,0.004245273,0.002710016,145,0.001691672,0.013573312,0.004556248,112,0.001306671,0.004386952,0.001879164,14,0.000163334,0.045343708,0.061708266,569,0.006638355,0.00704259,0.0041976,109,0.001271671,0.004166865,0.00312601,216,0.002520008,0.261332921,0.258570787,20899,0.243822479,0.071793655,0.068252313,5662,0.066056887
E14000542,Barnsley East,E12000003,Yorkshire and The Humber,90434,0.666873424,0.6731769,62795,0.694373797,0.588114724,0.594999596,62085,0.686522768,0.004245273,0.002710016,117,0.001293761,0.013573312,0.004556248,81,0.000895681,0.004386952,0.001879164,22,0.000243271,0.045343708,0.061708266,215,0.002377424,0.00704259,0.0041976,46,0.000508658,0.004166865,0.00312601,229,0.002532233,0.261332921,0.258570787,21949,0.242707389,0.071793655,0.068252313,5690,0.062918814
E14000543,Barrow and Furness,E12000002,North West,88826,0.666873424,0.739730724,63284,0.712449058,0.588114724,0.672538423,62356,0.702001666,0.004245273,0.002934555,341,0.003838966,0.013573312,0.005425133,112,0.001260892,0.004386952,0.004313136,31,0.000348997,0.045343708,0.05054581,195,0.002195303,0.00704259,0.001255924,9,0.000101322,0.004166865,0.002717742,240,0.002701912,0.261332921,0.198224747,19638,0.221083917,0.071793655,0.062044529,5904,0.066467025
E14000544,Basildon and Billericay,E12000006,East of England,89687,0.666873424,0.648321138,57089,0.636535953,0.588114724,0.596559583,54727,0.610199917,0.004245273,0.003809327,273,0.003043919,0.013573312,0.009237271,637,0.007102479,0.004386952,0.005956937,240,0.002675973,0.045343708,0.025370598,851,0.009488555,0.00704259,0.003114949,68,0.000758192,0.004166865,0.004272473,293,0.003266917,0.261332921,0.279045967,26301,0.293253203,0.071793655,0.072632896,6297,0.070210844
