ONSConstID,ConstituencyName,RegionID,RegionName,CountryID,CountryName,DateOfThisUpdate,DateOfDataset,WageMedianConst,WageMedianRegion,WageMedianCountry,
E14000554,Berwick-upon-Tweed,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,520,530,580,
E14000569,Bishop Auckland,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,520,530,580,
E14000574,Blaydon,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,530,530,580,
E14000575,Blyth Valley,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,520,530,580,
E14000641,City of Durham,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,610,530,580,
E14000658,Darlington,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,500,530,580,
E14000677,Easington,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,520,530,580,
E14000709,Gateshead,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,500,530,580,
E14000733,Hartlepool,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,550,530,580,
E14000746,Hexham,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,580,530,580,
E14000754,Houghton and Sunderland South,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,530,530,580,
E14000765,Jarrow,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,470,530,580,
E14000819,Middlesbrough,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,470,530,580,
E14000820,Middlesbrough South and East Cleveland,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,570,530,580,
E14000831,Newcastle upon Tyne Central,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,500,530,580,
E14000832,Newcastle upon Tyne East,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,570,530,580,
E14000833,Newcastle upon Tyne North,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,580,530,580,
E14000840,North Durham,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,560,530,580,
E14000853,North Tyneside,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,550,530,580,
E14000856,North West Durham,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,520,530,580,
E14000891,Redcar,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,480,530,580,
E14000915,Sedgefield,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,580,530,580,
E14000944,South Shields,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,520,530,580,
E14000970,Stockton North,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,530,530,580,
E14000971,Stockton South,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,610,530,580,
E14000982,Sunderland Central,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,480,530,580,
E14001006,Tynemouth,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,610,530,580,
E14001014,Wansbeck,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,540,530,580,
E14001020,Washington and Sunderland West,E15000001,North East,K02000001,UK,04/11/2019,01/04/2019,460,530,580,
E14000532,Altrincham and Sale West,E15000002,North West,K02000001,UK,04/11/2019,01/04/2019,790,560,580,
E14000537,Ashton-under-Lyne,E15000002,North West,K02000001,UK,04/11/2019,01/04/2019,480,560,580,
E14000543,Barrow and Furness,E15000002,North West,K02000001,UK,04/11/2019,01/04/2019,630,560,580,
E14000559,Birkenhead,E15000002,North West,K02000001,UK,04/11/2019,01/04/2019,540,560,580,
E14000570,Blackburn,E15000002,North West,K02000001,UK,04/11/2019,01/04/2019,490,560,580,
E14000571,Blackley and Broughton,E15000002,North West,K02000001,UK,04/11/2019,01/04/2019,490,560,580,
E14000572,Blackpool North and Cleveleys,E15000002,North West,K02000001,UK,04/11/2019,01/04/2019,460,560,580,
E14000573,Blackpool South,E15000002,North West,K02000001,UK,04/11/2019,01/04/2019,450,560,580,
