ID,Region_East Midlands,Region_East of England,Region_London,Region_North East,Region_North West,Region_Scotland,Region_South East,Region_South West,Region_Wales,Region_West Midlands,Region_Yorkshire and The Humber,Type_Large City,Type_Large Town,Type_Rural,Type_Small City,Type_Small Town,Population,%0-9YO,%10-19YO,%20-29YO,%30-39YO,%40-49YO,%50-59YO,%60-69YO,%70-79YO,%80+YO,AreaKM2,PopDensity,Businesses,%BusinessGrowth,BusinessesPer1kCap,%Unemployment,UnemploymentChange,2019Wage,HousePrice,%HousePriceGrowth,HousePricePerWage,%OwnOutright,%OwnWithMort,%PrivateRent,%SocialHousing,%Heavy Industry & Manufacturing,%Wholesale & Retail,%Agriculture,%Hospitality,%Public Admin & Defence,%Transport,%Health & Social Work,%Support & Admin,%Education,%Sciences,%FS & ICT,%Other Industry,%NoQuals,%Level1,%Level2,%Level3,%Level4+,%White,%Mixed,%Asian,%Black,%NoReligion,%Christian,%Muslim,%Buddhist,%Hindu,%Jewish,%Sikh,%BornUK,%BornIreland,%BornOtherEU,%BornOtherEurope,%BornAfrica,%BornME,%BornSouthAsia,%BornSEAsia,%BornEastAsia,%BornNAmerica,%BornLatinAmerica,%BornAustralasia,MbpsSpeed,%UnableDecent,%Under10Mbps,%LeaveVote,%17Turnout,Winner_17,seat_types_17,seat_types_yg
E14000530,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,105601,0.13019999999999998,0.1087,0.1276,0.1527,0.1444,0.1368,0.0909,0.0701,0.0386,53.00199987254761,1992.3965181301785,3825,0.2259615384615385,36.221247904849385,0.017457089,-0.010668691000000001,640,305000.0,0.6944444444444444,9.164663461538463,0.244856325,0.409404155,0.168005971,0.152655803,0.158,0.16,0.001,0.053,0.111,0.051,0.11,0.067,0.073,0.061,0.10100000000000002,0.055999999999999994,0.185,0.218,0.188,0.142,0.267,0.8553338079999999,0.02134293,0.097736764,0.019293316,0.335212948,0.581416832,0.013818056,0.030657609,0.03225496,0.0006928269999999999,0.0020303689999999998,0.83155636,0.006678085,0.037085506000000004,0.00358923,0.021843306,0.002039992,0.062662381,0.010122977,0.011989762,0.0067358209999999995,0.002396028,0.003300552,70.6,0.01342,0.1368,0.579,0.6436847975854603,Con,con safe,con safe
E14000531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,77476,0.1087,0.109,0.1055,0.109,0.1258,0.1494,0.1143,0.1106,0.0677,44.0334938599304,1759.478824152576,2505,0.19570405727923634,32.33259331922144,0.03233277,-0.016719918,580,179995.0,0.19996666666666665,5.968003978779841,0.3889854170000001,0.36695625200000004,0.082004344,0.145423518,0.25799999999999995,0.17600000000000002,0.001,0.039,0.053,0.049,0.11800000000000001,0.042,0.10800000000000001,0.045,0.055,0.057,0.295,0.18925,0.17125,0.12825,0.21625,0.931288487,0.015524723,0.040364278999999996,0.009704576,0.258282017,0.7017434459999999,0.007223218000000002,0.001935719,0.007067321,0.000363759,0.020396498,0.961376569,0.005157586,0.008028685,0.00064957,0.004884767000000001,0.001026321,0.011796191000000001,0.001688882,0.001909736,0.002702211,0.0002988026,0.0004806818,50.0,0.0018899999999999998,0.1791,0.6779999999999999,0.6679919818431821,Con,con safe,con safe
E14000532,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,101861,0.1301,0.129,0.08449999999999999,0.12710000000000002,0.1502,0.138,0.1018,0.0833,0.055999999999999994,50.926031282814506,2000.1754983482085,6460,0.4681818181818183,63.419758298072864,0.019401316000000002,-0.006516134,790,315000.0,0.4318181818181819,7.6679649464459585,0.35351410899999997,0.387290618,0.11933198099999999,0.12261198300000001,0.14800000000000002,0.14800000000000002,0.002,0.044000000000000004,0.04,0.04,0.131,0.055,0.10400000000000001,0.11800000000000001,0.107,0.064,0.152,0.15125,0.16125,0.12325,0.41225,0.9043389140000001,0.021306332999999997,0.055895477,0.009762814,0.27199221500000004,0.652690209,0.031348676,0.003395762,0.012951517,0.022931742999999997,0.0026399979999999997,0.905405265,0.013065398999999998,0.023211272,0.0029195270000000003,0.01020799,0.0063567,0.018355747,0.003478585,0.007588698999999998,0.005559524000000001,0.0012837640000000002,0.002567527,54.8,0.01122,0.159,0.386,0.7227214377406932,Con,con lab marginal,con safe
E14000533,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90620,0.1063,0.1029,0.1134,0.1178,0.132,0.1481,0.1267,0.1016,0.0513,124.637738388637,727.0671080169542,2960,0.149514563106796,32.663871110130216,0.032759179,-0.015123491999999997,540,140000.0,0.21739130434782614,4.985754985754986,0.367575141,0.357106981,0.114673927,0.14354067,0.315,0.172,0.004,0.043,0.051,0.05,0.113,0.04,0.084,0.040999999999999995,0.034,0.053,0.297,0.20625,0.16925,0.13025,0.19725,0.983887669,0.006599684000000001,0.006702093,0.002002663,0.388869292,0.6001615779999999,0.001615785,0.001695436,0.00119477,0.0005234230000000001,0.001490618,0.973237145,0.002378162,0.012596293,0.000989953,0.0029698570000000002,0.000318605,0.0019116329999999998,0.001524755,0.0010013318,0.001866117,0.0002503331,0.000955816,28.5,0.01201,0.2383,0.653,0.6745023139645927,Con,con safe,con safe
E14000534,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,101579,0.1016,0.1074,0.07339999999999999,0.0883,0.1259,0.157,0.1407,0.1286,0.07719999999999999,645.2209411121939,157.4328939555249,6120,0.16793893129770998,60.248673446283185,0.013747891000000002,-0.005103740999999998,630,390000.0,0.56,11.904761904761903,0.422556572,0.33714492100000004,0.112662494,0.10317766,0.16700000000000004,0.149,0.02,0.048,0.046,0.047,0.115,0.052000000000000005,0.10300000000000001,0.08,0.08900000000000001,0.085,0.179,0.16975,0.18175,0.12975,0.33975,0.9774846559999999,0.009993112,0.00934541,0.002148725,0.3299783070000001,0.6548366870000001,0.0030534509999999996,0.003135699,0.001449618,0.002344063,0.00042152,0.934222295,0.005541448,0.020017066,0.002169287,0.011792283,0.001634676,0.005315266,0.004420821,0.002765583,0.00640505,0.0017991710000000005,0.003917053,31.4,0.03632,0.2169,0.4970000000000001,0.7600845516998415,Con,con safe,con safe
E14000535,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,107100,0.1196,0.1089,0.1162,0.1217,0.1272,0.1472,0.1164,0.0947,0.0481,107.72573516901501,994.1914049782694,2585,0.1263616557734204,24.136321195144724,0.038379821,-0.012176012,480,130000.0,0.2560386473429952,5.208333333333333,0.34173482299999997,0.34915332299999996,0.12563068800000002,0.165142265,0.29,0.193,0.003,0.045,0.047,0.059000000000000004,0.133,0.042,0.075,0.035,0.031,0.047,0.32299999999999995,0.218,0.175,0.127,0.157,0.979571011,0.008036187,0.008291304000000001,0.0028455359999999996,0.405753871,0.5820691960000001,0.002982907,0.001864317,0.001648449,9.81219e-05,0.0016091999999999999,0.9697980659999998,0.002129246,0.015179465,0.0010695289999999998,0.00299272,0.00039248800000000003,0.003139902,0.001383519,0.0012952091900000002,0.0017465710000000001,0.00021586819,0.0006574170000000001,65.8,0.00561,0.1615,0.705,0.6411061017470158,Lab,con lab marginal,con lab marginal
E14000536,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,123871,0.1315,0.1216,0.1083,0.1207,0.1343,0.1409,0.1045,0.08900000000000001,0.049100000000000005,503.6592757169232,245.94206038135292,5985,0.2693531283138919,48.31639366760582,0.032165505,0.0017812159999999989,610,268000.0,0.5314285714285714,8.448928121059268,0.312820849,0.36562029,0.145334994,0.147934552,0.205,0.172,0.016,0.052000000000000005,0.05,0.054000000000000006,0.126,0.055,0.086,0.06,0.064,0.06,0.213,0.2085,0.1905,0.1325,0.2555,0.9349566140000001,0.014459005,0.035071719,0.012086063000000001,0.34008323,0.6272799720000001,0.008933947,0.007030282,0.011324596999999999,0.000982823,0.0008057380000000001,0.905471932,0.005285993,0.028997698,0.00328493,0.014503276,0.001903666,0.02168408,0.00465734,0.00532141,0.0044625459999999995,0.001478661,0.002948468,46.7,0.037000000000000005,0.2237,0.599,0.6867611887351666,Con,con safe,con safe
E14000537,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,92602,0.1307,0.1138,0.1286,0.1344,0.1246,0.1421,0.1025,0.0809,0.0425,27.8057256396804,3330.321287060804,2505,0.2249388753056234,27.051251592838174,0.05831997,-0.0030179159999999955,480,130000.0,0.30000000000000004,5.208333333333333,0.281956432,0.341759145,0.149635224,0.21154439,0.225,0.18899999999999997,0.001,0.048,0.055999999999999994,0.057999999999999996,0.12300000000000001,0.05,0.078,0.048,0.065,0.059000000000000004,0.29600000000000004,0.221,0.185,0.131,0.16699999999999998,0.8735135490000001,0.016964325,0.09560806300000001,0.011361125,0.25752619200000004,0.650424384,0.059358561,0.0026634540000000004,0.026689802000000002,0.000419964,0.00033155,0.90757482,0.006376818,0.021771805,0.001735113,0.015461297999999997,0.0015914420000000002,0.035730074,0.003171831,0.0034702264,0.0018235270000000001,0.0004531184,0.000839927,44.3,0.00093,0.219,0.618,0.5889115465319029,Lab,lab safe,con lab marginal
E14000538,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,123732,0.1405,0.1136,0.1181,0.1514,0.1405,0.133,0.0923,0.068,0.0425,185.468104907871,667.1335756703953,4905,0.2386363636363636,39.642129764329354,0.018496044,-0.005273261,620,308500.0,0.6675675675675676,9.568858560794043,0.292901127,0.40223074200000003,0.151922853,0.132915069,0.166,0.163,0.006,0.043,0.087,0.047,0.127,0.05,0.08900000000000001,0.068,0.091,0.061,0.18100000000000002,0.19375,0.17875,0.13375,0.31275,0.857942922,0.027363528999999998,0.083932721,0.025549167999999997,0.329001083,0.591231822,0.057504142,0.004193395999999999,0.011126848,0.0016569929999999998,0.001638479,0.8700787759999999,0.008044285,0.035639238,0.002860396,0.022873911,0.001860646,0.033213919,0.00875707,0.0036194657,0.008599701999999999,0.0017773329999999999,0.0026752570000000003,51.3,0.0135,0.1781,0.518,0.7136021127613694,Con,con safe,con safe
E14000539,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,124450,0.12990000000000002,0.1173,0.1032,0.1442,0.13970000000000002,0.1402,0.1018,0.0784,0.0454,463.6442309928151,268.4170139106693,5790,0.16969696969696968,46.524708718360785,0.016551978999999998,-0.005227447000000003,620,299950.0,0.6803921568627451,9.303660049627792,0.28877551,0.388711735,0.17057823100000002,0.128443878,0.204,0.182,0.012,0.043,0.07,0.047,0.10099999999999999,0.046,0.095,0.065,0.07200000000000001,0.061999999999999986,0.19699999999999998,0.20800000000000002,0.17600000000000002,0.132,0.287,0.924165593,0.017731158,0.041525337,0.013516722,0.325995523,0.634590598,0.02342955,0.003943084,0.003451258,0.001187165,0.0032816629999999998,0.888745676,0.006113899999999999,0.043450240999999994,0.002823757,0.015110915,0.0015009160000000001,0.014890442,0.005910386,0.003663251800000001,0.012380436000000002,0.0017468289999999999,0.003663252,40.5,0.01323,0.1985,0.503,0.735791658713495,Con,con safe,con safe
